age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
295.0016,0.000221,403796.0,1.066917,0.4668357,4.657957,0.04704916,0.2457454,0.3297987,270.0
452.8632,0.000221,403796.0,1.066917,0.4668357,4.657957,0.04704916,0.2457454,0.3297987,273.4935
553.9155,7.22e-06,8096.465,3.2159,0.5835467,1.182552e-05,0.005178562,0.1572762,2.377132,273.4942
655.0318,7.82e-06,15931.02,2.045132,0.6159566,2.254116e-05,0.01280478,0.141161,1.715535,273.495
756.4573,1.2e-05,22569.73,2.279418,0.6521671,3.112763e-05,0.01030785,0.1259211,1.457927,273.4962
858.1748,1.61e-05,38222.15,1.435295,0.70109,4.562155e-05,0.02599778,0.108961,1.131736,273.4979
959.0231,2.05e-05,37124.8,1.906881,0.7349287,4.829217e-05,0.01472904,0.09915872,1.158514,273.4999
1059.421,2.5e-05,43248.23,1.871933,0.7713593,5.50867e-05,0.01528426,0.09001427,1.084004,273.5024
1160.54,2.99e-05,55542.09,1.753565,0.7967921,7.05351e-05,0.01741749,0.08436049,0.9662612,273.5054
1261.148,3.48e-05,61721.53,1.671698,0.8048742,8.194953e-05,0.01916544,0.08267576,0.9221208,273.5089
1362.269,3.74e-05,70893.21,0.6230423,0.8216767,9.409575e-05,0.1379764,0.07933007,0.8637153,273.5127
1462.781,4.02e-05,83084.89,0.9690608,0.8421049,0.0001061948,0.0570353,0.07552893,0.8005818,273.5168
1563.944,4.34e-05,77210.65,0.5749801,0.8556125,9.590689e-05,0.1620118,0.0731641,0.8340685,273.5212
1664.621,4.7e-05,573448.9,4.472864,0.9096851,0.0001215364,0.002677243,0.06472575,0.3074725,273.5259
1765.192,4.84e-05,107584.1,0.8920714,0.8836351,0.0001217567,0.06730809,0.06859945,0.7137782,273.5308
1865.469,5.1e-05,121332.0,0.9650975,0.8964201,0.0001345504,0.05750847,0.0666578,0.6754661,273.5359
1966.0,5.32e-05,99345.35,1.397921,0.9021785,0.0001038355,0.02741051,0.06581082,0.7509606,273.5412
2066.594,5.45e-05,127422.5,1.571106,0.9227579,0.0001257784,0.02170099,0.06290931,0.6660653,273.5467
2166.768,5.74e-05,101584.3,3.30133,0.9269881,7.166951e-05,0.004914973,0.0623377,0.7492147,273.5524
2267.571,5.89e-05,143710.6,2.235388,0.943128,0.0001384398,0.01072019,0.06022361,0.6322073,273.5584
2367.932,6.01e-05,161647.6,2.798955,0.9633824,0.000144309,0.006837943,0.05771913,0.5998467,273.5644
2469.694,6.26e-05,172665.2,2.403141,0.9684762,0.0001452529,0.009276161,0.05711483,0.5839148,273.5708
2570.334,6.38e-05,144732.3,2.460699,0.9701657,0.000123461,0.008847479,0.05691735,0.6414542,273.5772
2671.725,6.49e-05,188890.1,2.479555,0.9894357,0.0001460925,0.008713631,0.05472319,0.5634334,273.5838
2773.554,6.68e-05,981329.4,5.726364,1.052103,0.0002055255,0.0016338,0.04839945,0.2482063,273.5906
2874.596,6.75e-05,233852.9,2.656635,1.01949,0.0001763228,0.007591075,0.05154673,0.5105593,273.5974
2975.226,7.17e-05,210913.4,2.420435,1.011758,0.0001616907,0.009145158,0.05233893,0.5400938,273.6046
3076.04,7.18e-05,184045.8,2.542598,1.028588,0.0001323125,0.008287698,0.05064147,0.5813705,273.6119
3176.839,7.39e-05,151116.9,2.965681,1.04549,0.0001112177,0.006091884,0.04901859,0.6449444,273.6193
3277.244,7.35e-05,226123.5,2.911329,1.0494,0.0001573446,0.006321632,0.04865525,0.5287859,273.6267
3377.429,7.73e-05,224433.7,3.242102,1.040805,0.0001507009,0.005097653,0.04946348,0.5325887,273.6344
3478.384,7.77e-05,270761.9,2.77832,1.085903,0.0001901433,0.006941784,0.04544157,0.4871016,273.6423
3579.352,8.02e-05,240139.4,2.961008,1.084189,0.0001758673,0.006111797,0.0455867,0.5187604,273.6504
3679.907,8.16e-05,262688.7,3.392952,1.101964,0.0001879994,0.004654845,0.04412918,0.4982386,273.6586
3780.249,8.32e-05,267756.6,3.453077,1.116275,0.000201808,0.004494287,0.0430062,0.4971336,273.6669
3880.37,8.61e-05,252944.2,3.143709,1.080169,0.0001898681,0.005422528,0.0459307,0.5133474,273.6756
3980.485,8.75e-05,272086.0,2.950147,1.105977,0.0002030993,0.006157616,0.04381349,0.497961,273.6843
4081.377,8.99e-05,244765.1,2.924138,1.111319,0.0001835855,0.006267844,0.04339466,0.5282449,273.6934
4181.398,9.07e-05,384035.0,3.753401,1.151282,0.0002482608,0.003804328,0.04043568,0.4241703,273.7025
4282.424,9.13e-05,240577.5,3.464876,1.113582,0.0001877129,0.004464438,0.04322132,0.5396467,273.7117
