age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
0.0,2.02e-06,1.42998e-3,1.980481e-3,1.980479e-3,0.0,0.0,0.0,1.201874e-3,270.0
753.992,0.0,3.015307e-05,0.0,0.0,0.0,0.0,0.0,25.39542,270.0
1026.342,0.416,293979.8,1.206815,0.4451047,151.2125,0.05156938,0.3790959,0.3502469,383.4094
1769.963,0.0404,76404.49,1.237424,0.4508557,40.02938,0.05289001,0.398415,0.7017359,413.4314
2401.617,0.0143,22264.06,1.351496,0.4555831,12.07208,0.04530921,0.3987318,1.34078,422.4855
3149.602,0.0056,13702.91,1.705361,0.4547859,5.583399,0.02873843,0.4040936,1.796568,426.673
3666.014,0.0047,11756.97,2.045003,0.4500637,3.232947,0.02009865,0.4149604,2.023722,429.0977
4414.065,0.0035,16387.76,2.302317,0.4474027,3.490287,0.01595373,0.4224695,1.824697,431.7154
5042.181,0.00382,15827.93,2.392556,0.4430851,3.202742,0.01485508,0.4331368,1.966296,434.1175
5761.427,0.00416,24693.72,2.178796,0.4422137,3.988102,0.01803619,0.4378381,1.671736,437.1086
6102.659,0.00582,19769.58,2.298991,0.451486,2.648014,0.01627311,0.4219458,1.917607,439.0946
6795.08,0.00421,26834.06,2.206145,0.4436034,3.884538,0.01778876,0.4399713,1.743671,442.008
7478.721,0.00403,20811.15,2.175768,0.4441727,3.669553,0.01840269,0.4415733,2.100459,444.7601
8158.834,0.00368,15949.36,2.319499,0.4502814,3.340139,0.01628375,0.4320905,2.556487,447.2652
8738.657,0.00412,20911.1,2.144869,0.445146,3.188243,0.01914494,0.4444784,2.638536,449.6564
9359.121,0.0036,14317.58,2.287548,0.4477143,2.978563,0.01691472,0.4415736,3.383304,451.8903
9965.863,0.00416,20749.46,2.01065,0.4494383,3.365303,0.02201649,0.440637,2.915135,454.4142
10141.98,0.00614,7325.325,2.131562,0.4479612,1.442935,0.0196362,0.4446031,5.005745,455.4964
10727.98,0.00313,11842.79,2.348174,0.4470064,2.443151,0.01624551,0.448298,4.121965,457.3288
11355.9,0.00358,12378.37,2.001484,0.443589,2.224655,0.02247065,0.4574654,4.219148,459.5757
11937.61,0.00353,20669.04,2.156081,0.4433502,2.739187,0.01945019,0.4600026,3.377137,461.6301
12196.02,0.00442,8062.34,2.19919,0.4446031,1.524001,0.01874137,0.458545,5.486304,462.7731
12766.66,0.00291,10808.17,2.214573,0.4452855,2.213299,0.01854809,0.4587776,4.852715,464.433
13329.79,0.00344,16290.4,2.2464,0.4450327,2.581765,0.01810128,0.4612111,4.032067,466.3693
13960.81,0.00391,18404.4,1.878087,0.440575,2.391491,0.02603388,0.4730759,3.845454,468.8348
