age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
984.6025,0.0,4.963191e-05,0.6884017,0.6872542,0.0,0.004461522,0.004476433,41.79331,10.8
1107.227,2.93e-07,739602.9,1.74205,0.4917508,0.01205939,0.0006967015,0.008743345,0.2377281,10.80004
1226.052,1.49e-07,854070.2,2.315307,0.5150766,0.002440215,0.0003944125,0.007969376,0.2299838,10.80005
1358.211,1.54e-07,960407.8,2.376674,0.5381523,0.002686349,0.000374308,0.007300586,0.2232396,10.80007
1475.949,1.92e-07,1147693.0,2.322877,0.5707624,0.002356148,0.0003918466,0.006490197,0.2095616,10.8001
1633.222,2.54e-07,1564708.0,2.245402,0.6328058,0.002246929,0.0004193544,0.005279935,0.1858728,10.80014
1750.663,3.04e-07,1905914.0,2.34168,0.6713569,0.002735815,0.0003855807,0.004690978,0.1725534,10.80017
1865.774,3.35e-07,2231604.0,2.375004,0.7019365,0.003201195,0.0003748373,0.004291169,0.1630828,10.80021
1975.99,3.8e-07,2513552.0,2.362495,0.725007,0.003602531,0.0003788181,0.004022426,0.158145,10.80025
2092.357,4.55e-07,2626042.0,2.1934,0.7357015,0.005032345,0.0004394792,0.003906347,0.1592522,10.80031
2215.054,5.46e-07,2830436.0,2.145776,0.748751,0.005480436,0.0004592057,0.003771389,0.1558317,10.80037
2350.462,6.53e-07,2869884.0,2.000812,0.7520954,0.007251621,0.0005281612,0.003737948,0.1568007,10.80046
2468.945,7.45e-07,2969691.0,1.945141,0.7562472,0.007681343,0.0005588304,0.003697044,0.1553788,10.80055
2579.915,8.17e-07,3036156.0,1.89497,0.7590134,0.008026408,0.0005888176,0.003670172,0.1544665,10.80064
2685.937,1.01e-06,3027467.0,1.676138,0.7562431,0.01016732,0.0007526089,0.003697143,0.1550947,10.80075
2803.878,1.22e-06,3073623.0,1.627309,0.7565239,0.01051587,0.0007984623,0.003694444,0.154107,10.80089
2919.273,1.32e-06,3111440.0,1.58288,0.7563674,0.01079316,0.0008439252,0.00369602,0.1530704,10.80104
3037.92,1.44e-06,3140295.0,1.536781,0.7551966,0.01100851,0.0008953283,0.003707543,0.1522135,10.80121
3168.277,1.56e-06,3159319.0,1.486201,0.7538177,0.01116197,0.0009573236,0.003721184,0.1542617,10.80142
3295.293,1.93e-06,3126611.0,1.286642,0.7474463,0.0132708,0.001277343,0.003784976,0.1586366,10.80166
3415.353,2.4e-06,3122343.0,1.230637,0.745188,0.01331256,0.001396286,0.003808048,0.1655631,10.80195
3541.398,3.39e-06,3070477.0,1.034848,0.7390701,0.01526021,0.001974684,0.003871501,0.1667042,10.80238
3690.425,3.83e-06,3040268.0,0.9664201,0.7372761,0.01511253,0.002264337,0.003890564,0.1722685,10.80295
3810.671,4.24e-06,3014217.0,0.9191499,0.7358896,0.01493409,0.002503342,0.003905418,0.1765971,10.80346
3921.931,4.55e-06,2990175.0,0.8810187,0.7347937,0.01473044,0.002724849,0.003917255,0.1758209,10.80396
4041.687,5.55e-06,3008608.0,0.7933281,0.7323128,0.01273821,0.003360726,0.003944079,0.1744228,10.80463
4169.75,5.77e-06,2962313.0,0.7658978,0.7330371,0.01244315,0.003606005,0.003936553,0.1738594,10.80537
4302.533,7.08e-06,2998988.0,0.6070006,0.7341853,0.01065134,0.00574152,0.003924585,0.1716581,10.80631
4424.328,7.68e-06,2904328.0,0.6268488,0.737705,0.01028155,0.005384143,0.003887556,0.1744883,10.80724
4551.591,7.8e-06,2907709.0,0.5557479,0.7447086,0.00826622,0.006850555,0.003815125,0.173133,10.80824
4694.977,8.07e-06,2803672.0,0.5622488,0.7544981,0.007923033,0.006693762,0.003717158,0.1765977,10.80939
4815.826,7.57e-06,2775111.0,0.5815614,0.7617354,0.007771191,0.006257089,0.003647164,0.1776275,10.81031
4922.222,6.94e-06,2810111.0,0.6180831,0.7696135,0.007759965,0.005539862,0.003573118,0.1766348,10.81105
5043.934,6.34e-06,2925576.0,0.6862035,0.7780518,0.007885635,0.004494872,0.003496279,0.173082,10.81182
5170.028,5.66e-06,3138487.0,0.774596,0.7862108,0.008173826,0.003527774,0.003424311,0.1669288,10.81253
5308.816,5.25e-06,3624870.0,0.8535914,0.797556,0.007079225,0.002905225,0.003327802,0.1549616,10.81326
5431.667,5.24e-06,3895871.0,0.9012647,0.7978023,0.007412801,0.002606156,0.003325941,0.1491845,10.81391
5562.847,8.5e-06,3931967.0,0.6592774,0.7849727,0.009855842,0.004870942,0.003435898,0.1487084,10.81502
5693.286,8.68e-06,3966416.0,0.6531183,0.7871169,0.009814927,0.004963757,0.003417557,0.1475556,10.81615
5815.184,9.56e-06,4157759.0,0.5792362,0.7899337,0.008223725,0.006311449,0.003393588,0.1455079,10.81732
5922.396,1.25e-05,3905699.0,0.3416942,0.7807087,0.01028782,0.01813923,0.003474689,0.1503682,10.81866
6044.09,1.38e-05,3621271.0,0.3508435,0.7842843,0.009659315,0.01720814,0.003443606,0.1563524,10.82034
6155.186,1.02e-05,3186297.0,0.6652983,0.8011289,0.007508834,0.004786003,0.003300661,0.167925,10.82148
5922.396,1.25e-05,3902534.0,0.3417783,0.7805743,0.01028458,0.0181303,0.003475885,0.1504381,10.81866
6043.856,1.37e-05,3618081.0,0.3529669,0.7841748,0.009654077,0.0170017,0.003444565,0.1564548,10.82033
6166.92,1.22e-05,3438707.0,0.3898082,0.7884174,0.009241364,0.01394178,0.003408064,0.160615,10.82184
6309.259,1.07e-05,3355090.0,0.4522284,0.7935655,0.009045347,0.01036013,0.00336446,0.1619644,10.82337
6432.129,9.62e-06,3354136.0,0.509475,0.7951483,0.009064954,0.008163606,0.00335144,0.1618068,10.82455
6556.373,8.8e-06,3398672.0,0.5657774,0.7954915,0.009218042,0.006620333,0.003348883,0.1619731,10.82564
6692.236,8.14e-06,3482855.0,0.6218821,0.7958334,0.009493064,0.005480228,0.003346342,0.1598865,10.82675
6816.62,7.7e-06,3579945.0,0.6660643,0.7937805,0.009796572,0.004777714,0.003363967,0.1589752,10.82771
6923.01,7.36e-06,3674853.0,0.6983574,0.7926153,0.01007238,0.004346383,0.003374105,0.1569057,10.82849
7047.435,9.88e-06,3737134.0,0.566277,0.7786593,0.01292007,0.006611108,0.00349653,0.1549632,10.82972
7175.866,9.88e-06,3763679.0,0.5717577,0.7768441,0.01299112,0.006485723,0.003513296,0.1550898,10.83099
7291.887,9.91e-06,3783459.0,0.5762223,0.7769536,0.01301559,0.00638628,0.003512674,0.1548891,10.83214
7417.324,9.86e-06,3808858.0,0.583804,0.7746689,0.01302095,0.006222183,0.003533822,0.1545378,10.83337
7545.395,1.19e-05,3877498.0,0.5045629,0.7621654,0.01342351,0.008331187,0.003651229,0.1520608,10.8349
7697.691,1.2e-05,3823166.0,0.4888911,0.7659063,0.0131301,0.008875357,0.003616253,0.1543803,10.83673
7822.979,1.21e-05,3787059.0,0.4821583,0.7672978,0.01290565,0.009126219,0.003603647,0.1544804,10.83824
7925.06,1.19e-05,3770791.0,0.4791775,0.7688317,0.01276007,0.009241144,0.003589681,0.1548379,10.83946
8050.308,1.19e-05,3851812.0,0.4947092,0.7720527,0.01066611,0.008671166,0.003560275,0.1531605,10.84094
8172.003,1.16e-05,3829759.0,0.5008837,0.7756686,0.01062097,0.008459789,0.003527612,0.1536385,10.84235
8315.257,1.11e-05,3863268.0,0.5182486,0.781797,0.01068753,0.007903514,0.00347303,0.1520881,10.84395
8442.585,1.08e-05,3947689.0,0.5420644,0.7861508,0.0108412,0.007225188,0.003435099,0.1504103,10.84532
8563.1,1.05e-05,4085321.0,0.5719011,0.7892962,0.01107064,0.006491711,0.003408168,0.1477239,10.84658
8693.743,1.02e-05,4298569.0,0.6073532,0.7942876,0.01139137,0.00575667,0.003365878,0.1439535,10.84792
8821.723,1.02e-05,4543028.0,0.631608,0.7962987,0.01170587,0.005323661,0.003349296,0.1392702,10.84923
8923.638,1.06e-05,4694862.0,0.6267982,0.7837537,0.01505293,0.005406212,0.003457716,0.1369743,10.85031
9051.597,1.13e-05,4926443.0,0.629368,0.7825171,0.01529937,0.005362863,0.003469112,0.1336831,10.85176
9171.268,9.26e-06,5325827.0,0.7739425,0.7851775,0.01352777,0.003546765,0.00344599,0.1292599,10.85287
9317.504,9.89e-06,5533132.0,0.7577779,0.7828626,0.01380811,0.003700183,0.003466857,0.1270646,10.85432
9445.389,1.04e-05,5612495.0,0.751657,0.779855,0.01390253,0.003761145,0.003494071,0.1255247,10.85564
9579.395,1.06e-05,5638111.0,0.7496412,0.7770788,0.01393332,0.003781888,0.003519536,0.1249647,10.85706
9705.213,1.36e-05,5416669.0,0.612211,0.7670657,0.01702004,0.005671283,0.003612588,0.1275429,10.85877
9824.98,1.32e-05,5453418.0,0.6415555,0.7683519,0.01462326,0.00516509,0.003601025,0.1277347,10.86036
9927.708,1.27e-05,5350030.0,0.6379908,0.768848,0.01443449,0.005223593,0.003596808,0.1287847,10.86167
10053.16,1.25e-05,5233274.0,0.6428454,0.7708985,0.01415927,0.00514573,0.003578209,0.1299271,10.86323
10184.01,1.19e-05,5178538.0,0.660059,0.7701429,0.01395373,0.004881533,0.003585743,0.1301089,10.86479
10308.28,1.14e-05,5192774.0,0.6854716,0.7732759,0.01386255,0.004526877,0.003557203,0.1289264,10.8662
10433.98,1.08e-05,5263110.0,0.7182199,0.7753011,0.01387292,0.004123978,0.003539079,0.1278505,10.86755
10564.44,1.02e-05,5380288.0,0.7571142,0.7734269,0.01395767,0.003711598,0.003556684,0.1261019,10.86889
10695.59,9.74e-06,5510360.0,0.7961621,0.7722859,0.01406436,0.003356844,0.003567615,0.1242924,10.87016
