age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
206.0085,1.68e-08,1174320.0,12.42448,2.120965,0.1163996,1.374649e-05,0.0004717161,15.72376,10.83334
306.7927,8.12e-10,1285393.0,16.37587,2.101487,0.1588283,7.912953e-06,0.0004805006,16.01942,10.83334
534.6633,4.57e-07,558138.5,1.307123,0.5671366,0.1015167,0.001242121,0.006598137,0.3188151,10.83348
649.2132,4.76e-07,566119.1,1.318176,0.5076985,0.1026948,0.001221383,0.00823354,0.282494,10.83353
800.8119,4.89e-07,577308.7,1.335073,0.4411872,0.1043729,0.001190668,0.01090322,0.2419475,10.83361
922.7229,5e-07,586835.7,1.350443,0.3937076,0.1058336,0.001163723,0.01369163,0.2134709,10.83367
938.0464,5.08e-07,591232.0,1.347771,0.3856281,0.1065928,0.001168339,0.01427132,0.2080079,10.83367
1031.787,5.57e-07,601534.0,1.324262,0.3418332,0.1087734,0.001210199,0.01816252,0.1827348,10.83379
1152.703,5.56e-07,610444.1,1.340254,0.3119953,0.1102084,0.001181497,0.02180271,0.1654876,10.83386
1272.038,5.51e-07,620095.1,1.356984,0.2873961,0.1117771,0.001152548,0.02569491,0.1520759,10.83392
1390.128,5.43e-07,629765.8,1.37475,0.2688187,0.1133687,0.001122958,0.02936919,0.1413369,10.83399
1606.535,5.29e-07,648061.2,1.409501,0.2464703,0.1164088,0.001068276,0.03493698,0.1284166,10.8341
1723.399,5.13e-07,658208.3,1.429185,0.2383528,0.1181161,0.001039058,0.03735734,0.1232151,10.83416
1845.257,5e-07,668964.1,1.450317,0.2318851,0.1199327,0.001009003,0.03947047,0.1188599,10.83422
1963.696,4.88e-07,679389.8,1.470986,0.2270368,0.1217041,0.0009808505,0.04117443,0.1154211,10.83428
2083.619,4.76e-07,690089.7,1.492403,0.2231128,0.1235281,0.0009529046,0.04263563,0.1125152,10.83434
2205.345,4.63e-07,700968.1,1.51452,0.2200537,0.125382,0.0009252799,0.04382945,0.1103506,10.83439
2329.092,4.51e-07,711864.8,1.536882,0.2174329,0.1272393,0.000898554,0.04489259,0.1084033,10.83445
2454.529,4.39e-07,722871.9,1.559713,0.2152914,0.1291139,0.0008724437,0.04579026,0.1065425,10.8345
2655.904,4.24e-07,740213.2,1.596333,0.2129444,0.1320462,0.0008328795,0.04680547,0.1041085,10.83459
2787.263,4.08e-07,751265.1,1.620142,0.2115701,0.1338983,0.0008085824,0.04741571,0.1026513,10.83464
2909.989,3.97e-07,761405.4,1.642489,0.2105032,0.1355788,0.000786733,0.04789771,0.1015328,10.83469
3045.752,4.8e-07,766352.0,1.54428,0.2096154,0.1707986,0.0008899832,0.04830451,0.100685,10.83476
3146.993,4.74e-07,774516.5,1.556339,0.2092026,0.1725779,0.0008762482,0.04849549,0.09989114,10.8348
3286.796,4.9e-07,779863.6,1.542815,0.2084604,0.2087806,0.0008916822,0.04884165,0.09924711,10.83487
3429.728,4.81e-07,791018.4,1.56025,0.2079897,0.2116489,0.0008718695,0.0490632,0.09827465,10.83494
3553.207,4.73e-07,800733.6,1.575389,0.2078212,0.2140807,0.0008551966,0.04914301,0.09754631,10.835
3705.63,4.64e-07,812962.6,1.594043,0.2075922,0.2170324,0.0008353018,0.04925172,0.0966501,10.83507
3866.447,4.55e-07,826057.6,1.613729,0.2072568,0.2200141,0.0008150504,0.04941154,0.09567742,10.83514
4051.741,4.45e-07,841647.1,1.636977,0.2072319,0.2233199,0.0007920692,0.04942365,0.09470303,10.83523
4226.091,4.34e-07,856873.7,1.659404,0.2069562,0.2262357,0.0007708079,0.04955567,0.09369048,10.8353
4328.764,4.28e-07,866101.0,1.673194,0.207329,0.2278563,0.0007581567,0.04937778,0.0932819,10.83535
4505.669,4.18e-07,882854.8,1.69786,0.2073157,0.2305626,0.0007362919,0.04938438,0.09233543,10.83542
4701.139,4.07e-07,902237.7,1.726621,0.2073382,0.2332846,0.000711971,0.0493739,0.09128885,10.8355
4885.324,4.42e-07,922774.2,1.692001,0.2074561,0.2784983,0.0007414077,0.04931808,0.09020617,10.83558
5006.701,5.4e-07,963195.8,1.603683,0.2082601,0.2536823,0.0008253222,0.04893825,0.08833684,10.83565
5199.651,5.2e-07,987077.7,1.637438,0.2080092,0.2575025,0.0007916512,0.04905673,0.08713644,10.83575
5459.786,5.37e-07,1048470.0,1.64588,0.2086332,0.2277771,0.0007835594,0.04876423,0.08445939,10.83589
5732.245,5.12e-07,1087939.0,1.708285,0.2081559,0.2334678,0.0007273637,0.04898858,0.08273233,10.83603
5955.568,4.74e-07,1119480.0,1.763856,0.2074626,0.2379132,0.0006822591,0.04931693,0.08135038,10.83613
6254.669,4.96e-07,1201573.0,1.764818,0.2077043,0.215304,0.0006815228,0.04920274,0.07840101,10.83628
6492.04,4.53e-07,1226028.0,1.846306,0.2068603,0.2197563,0.0006226957,0.04960541,0.07741356,10.83639
6732.739,4.04e-07,1247349.0,1.929974,0.2062741,0.2234268,0.0005698796,0.04988806,0.07659869,10.83648
6894.569,3.8e-07,1260206.0,1.98697,0.2072335,0.2254917,0.0005376569,0.04942743,0.07638905,10.83655
7141.715,3.35e-07,1277329.0,2.073094,0.2060051,0.2279219,0.0004939151,0.0500189,0.07559613,10.83663
7391.626,3e-07,1291598.0,2.160103,0.2048772,0.2294394,0.0004549285,0.05057137,0.07493767,10.8367
7630.573,2.72e-07,1303353.0,2.24448,0.2053981,0.230153,0.0004213686,0.05031534,0.07518961,10.83677
7885.693,2.42e-07,1313305.0,2.334252,0.2035342,0.2300545,0.0003895822,0.05124127,0.07458293,10.83683
8145.704,2.17e-07,1322023.0,2.425247,0.2031736,0.2291981,0.0003608976,0.05142343,0.07451236,10.83689
8452.266,1.96e-07,1330776.0,2.532454,0.2025155,0.2273442,0.0003309889,0.05175833,0.07463958,10.83695
8708.95,1.74e-07,1333781.0,2.620253,0.2020716,0.2246361,0.0003091796,0.05198604,0.07411373,10.83699
8942.648,1.59e-07,1331276.0,2.698424,0.2020003,0.2211529,0.0002915261,0.0520228,0.07452564,10.83703
9201.352,2.56e-07,1456894.0,2.37294,0.2029893,0.3062084,0.0003769866,0.0515173,0.07126895,10.83709
9458.638,2.54e-07,1495177.0,2.398964,0.2030745,0.3062444,0.0003688527,0.05147421,0.07015728,10.83716
9570.755,2.54e-07,1514337.0,2.409421,0.2043453,0.3060203,0.0003656587,0.05083607,0.07014685,10.83719
9827.716,2.57e-07,1566274.0,2.428587,0.203701,0.3051191,0.0003599114,0.05115833,0.0687392,10.83725
10086.67,2.99e-07,1701430.0,2.370923,0.2040116,0.2613441,0.0003776329,0.05100292,0.06574334,10.83733
10318.74,4.09e-07,1742120.0,2.152103,0.2048616,0.3338037,0.0004583333,0.05058087,0.06497447,10.83743
10471.85,4.14e-07,1792252.0,2.163627,0.2064745,0.3353322,0.0004534656,0.04979393,0.06430892,10.83749
10728.97,4.23e-07,1885563.0,2.185745,0.2048502,0.3374417,0.000444338,0.05058708,0.06231696,10.8376
10967.29,4.3e-07,1983719.0,2.210915,0.2051416,0.3389941,0.0004342815,0.05044383,0.06070566,10.8377
11221.06,4.33e-07,2088323.0,2.243497,0.2047778,0.3396025,0.0004217622,0.05062356,0.05896085,10.83781
11480.5,4.3e-07,2190906.0,2.2846,0.2043382,0.33939,0.0004067254,0.05084203,0.05746451,10.83792
11716.62,4.79e-07,2350369.0,2.256983,0.2049491,0.3184046,0.0004167433,0.05053976,0.05561963,10.83804
11849.47,4.67e-07,2394112.0,2.289362,0.2069784,0.3178825,0.0004050401,0.04955382,0.0553687,10.8381
12112.08,4.42e-07,2468463.0,2.35729,0.2043005,0.3160423,0.0003820361,0.05086181,0.05416192,10.83821
