age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
0.0,0.00147,142863.7,4.451894,0.4445503,0.2055381,0.0001082005,0.01085118,0.485404,10.8
105.0238,0.00147,142863.7,4.451894,0.4445503,0.2055381,0.0001082005,0.01085118,0.485404,10.95415
209.1431,4.59e-06,4604.523,5.977288,0.4356432,8.978078e-06,6.002455e-05,0.01129992,2.724949,10.95463
317.4857,5.91e-07,3591.32,6.131289,0.4384756,6.832689e-06,5.704739e-05,0.01115446,3.17903,10.9547
420.0884,5.98e-07,3560.861,6.247764,0.4395196,6.721615e-06,5.494043e-05,0.01110158,3.281673,10.95476
523.401,6.18e-07,3816.937,6.35842,0.4418689,6.952321e-06,5.304505e-05,0.0109839,3.253203,10.95482
317.4857,5.91e-07,3591.32,6.131289,0.4384756,6.832689e-06,5.704739e-05,0.01115446,3.17903,10.9547
420.0884,5.98e-07,3561.342,6.247771,0.43952,6.72255e-06,5.49403e-05,0.01110156,3.281463,10.95476
523.4116,6.18e-07,3817.12,6.358429,0.4418692,6.952768e-06,5.304491e-05,0.01098388,3.253156,10.95482
631.1081,6.55e-07,3590.962,6.427366,0.4445658,7.032248e-06,5.191341e-05,0.01085109,3.454238,10.95489
737.1505,6.76e-07,3221.17,6.478774,0.4455514,6.439291e-06,5.109311e-05,0.0108032,3.72011,10.95496
838.115,7.21e-07,2881.996,6.50013,0.4490306,5.82305e-06,5.075821e-05,0.0106365,3.992813,10.95504
941.137,7.34e-07,2895.25,6.492317,0.4491283,5.971549e-06,5.088075e-05,0.01063193,3.99231,10.95511
1048.185,7.56e-07,3819.301,6.500594,0.4489442,7.518963e-06,5.075158e-05,0.01064072,3.504171,10.95519
1148.408,7.76e-07,3716.971,6.483484,0.4514156,6.416964e-06,5.102011e-05,0.01052459,3.583157,10.95527
1254.819,7.68e-07,3295.529,6.522937,0.4533792,7.238598e-06,5.040512e-05,0.01043369,3.845361,10.95535
1358.566,7.97e-07,3263.262,6.475928,0.4569519,7.365093e-06,5.113989e-05,0.01027124,3.912133,10.95544
1463.496,8.01e-07,3239.206,6.396767,0.4592446,7.190979e-06,5.241379e-05,0.01016901,3.980797,10.95552
1567.207,7.93e-07,3671.459,6.08085,0.4631297,7.440544e-06,5.800172e-05,0.009999175,3.74913,10.9556
1668.916,7.94e-07,2983.908,6.123117,0.4617114,6.998363e-06,5.720409e-05,0.01006076,4.190058,10.95568
1773.697,8.08e-07,3250.535,5.823896,0.4648114,7.524685e-06,6.323358e-05,0.009927077,4.056546,10.95577
1873.736,8.23e-07,2659.305,5.777126,0.4674255,6.538703e-06,6.426199e-05,0.009816418,4.519443,10.95585
1976.802,8.16e-07,2912.277,5.588658,0.4693098,7.076036e-06,6.866977e-05,0.009737814,4.342008,10.95593
2082.319,8.26e-07,3396.82,5.197268,0.481496,7.150425e-06,7.940237e-05,0.009251203,4.074087,10.95602
2188.303,8.46e-07,2998.762,5.520569,0.4841163,6.884448e-06,7.037509e-05,0.009151396,4.422033,10.95611
2289.804,9.19e-07,6020.347,5.478571,0.5063582,8.687431e-06,7.145875e-05,0.00836516,3.188689,10.9562
2390.125,1.08e-06,2699.903,6.317528,0.5385627,4.55758e-06,5.374021e-05,0.007394711,4.931348,10.95631
2495.486,1.26e-06,7233.625,6.411596,0.5541232,9.614092e-06,5.217545e-05,0.006985314,3.11402,10.95644
2596.692,1.47e-06,10236.63,6.967497,0.5608026,1.229444e-05,4.418252e-05,0.006819992,2.699159,10.95659
2697.38,1.79e-06,11126.48,7.427452,0.5648951,1.361703e-05,3.888042e-05,0.006721637,2.622881,10.95677
2798.04,2.29e-06,5139.591,7.778306,0.5612565,5.705743e-06,3.54527e-05,0.006809207,3.931445,10.957
2898.89,2.49e-06,10832.32,8.015734,0.5534911,1.250725e-05,3.33843e-05,0.007001764,2.74418,10.95726
3000.263,2.83e-06,13643.3,8.022294,0.5442076,1.691685e-05,3.333056e-05,0.007242867,2.480089,10.95754
3100.471,3.01e-06,8383.496,7.962123,0.5384386,1.219539e-05,3.383713e-05,0.007399098,3.196905,10.95784
3201.235,3.04e-06,7825.502,8.069759,0.5372448,1.214901e-05,3.294138e-05,0.007432218,3.35726,10.95815
3306.113,3.07e-06,11804.97,7.91567,0.5351297,2.048283e-05,3.423732e-05,0.007491296,2.758209,10.95847
3406.651,3.11e-06,7657.067,7.859864,0.5277098,1.451666e-05,3.472618e-05,0.007703653,3.441967,10.95879
