age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
137.1073,0.0,726.2358,71.08578,67.33881,0.003212647,4.679701e-07,5.21498e-07,7694.713,12.07286
823.2351,0.000886,108186.5,2.389877,0.3818565,0.1364674,0.0005632186,0.02206112,1.52734,16.42108
941.3836,0.00105,156169.0,2.051422,0.3544469,0.1657722,0.0007701817,0.02579889,1.21983,16.54541
1054.618,0.000671,31892.0,2.355586,0.3283163,0.1012615,0.0005868048,0.03020695,2.688366,16.62135
1176.522,0.000551,23819.43,2.519137,0.2998826,0.08963701,0.0005151579,0.03635312,3.123293,16.68858
1300.737,0.000755,94438.27,2.409291,0.2724106,0.1250706,0.0005663688,0.04430266,1.563387,16.78238
1518.217,0.000731,67356.53,2.041771,0.2546444,0.1075279,0.0007960818,0.05118037,1.860304,16.94138
1649.448,0.000821,112684.1,2.429713,0.2424041,0.1435909,0.0005657354,0.05683859,1.44503,17.04907
1842.619,0.000717,101281.3,2.003401,0.2307494,0.1206426,0.0008388822,0.06323475,1.573677,17.1876
1979.785,0.000522,29019.37,2.410016,0.2334714,0.09540077,0.000582104,0.06202591,2.97457,17.25915
2118.854,0.000526,45800.49,2.542364,0.2291362,0.097508,0.0005252915,0.06466785,2.392874,17.33228
2279.037,0.000597,38578.44,2.537192,0.2183915,0.08291083,0.0005303428,0.07158003,2.6402,17.42785
2389.63,0.000575,76588.0,2.426966,0.2216772,0.0847756,0.0005817239,0.06972719,1.88337,17.49143
2535.774,0.000521,57280.86,2.253806,0.2207016,0.1015718,0.0006774821,0.07065126,2.224141,17.5676
2684.878,0.00045,27100.93,2.503802,0.2244255,0.08937335,0.0005510412,0.06858667,3.264506,17.63463
2860.743,0.000542,56384.33,2.791876,0.2130894,0.08532811,0.0004455876,0.07648948,2.288449,17.72999
3017.457,0.000394,27452.12,2.603225,0.2207313,0.08235991,0.0005142944,0.07153316,3.28844,17.79176
3178.685,0.000555,74951.26,2.527457,0.2169329,0.1193453,0.0005483352,0.07443252,1.976897,17.88127
3379.238,0.000549,61305.32,2.372819,0.211046,0.1038849,0.0006259676,0.07912743,2.142552,17.99147
3560.912,0.000537,75340.62,2.256237,0.2070245,0.09993076,0.000696081,0.08267721,1.979556,18.08905
3707.809,0.000441,28465.35,2.471382,0.21883,0.08637119,0.000582239,0.07426214,3.222908,18.15382
3886.491,0.00052,75057.58,2.26711,0.2164734,0.1237986,0.0006954256,0.0762758,1.982024,18.24667
4068.823,0.00043,32761.01,2.595853,0.2233013,0.1044899,0.0005327165,0.07199025,3.001304,18.32504
4195.265,0.000489,25816.27,2.665643,0.2237393,0.08245837,0.0005068914,0.07195058,3.348086,18.38688
4385.004,0.00039,31115.66,2.627862,0.2210928,0.09854788,0.0005236668,0.07397939,3.012556,18.46079
4639.836,0.000488,31887.07,2.388691,0.2155129,0.1033613,0.0006380514,0.07838431,2.895526,18.58519
4907.433,0.000468,46688.57,2.408141,0.2136256,0.1121513,0.0006320119,0.08031232,2.347714,18.71034
5110.455,0.000446,39610.78,2.285502,0.2211908,0.1207713,0.0007050539,0.07527511,2.519509,18.80091
5388.905,0.000439,32504.39,2.53238,0.2171114,0.1026107,0.0005780145,0.07863779,2.731864,18.92306
5656.691,0.000437,42415.21,2.483297,0.2137952,0.1068893,0.0006048063,0.0815977,2.390681,19.04013
5923.199,0.000398,30616.79,2.342754,0.214467,0.09450997,0.0006833311,0.08153871,2.803268,19.14618
6140.662,0.000376,35362.23,2.419742,0.2226498,0.109077,0.0006432757,0.07597848,2.598842,19.22798
6393.7,0.000429,45905.97,2.402412,0.2129699,0.1041958,0.0006562714,0.08351069,2.39113,19.3365
6665.538,0.000412,30779.79,2.455481,0.21524,0.09776152,0.0006318455,0.08223146,2.593,19.44844
6928.351,0.000401,30888.58,2.464006,0.2140132,0.09936505,0.0006308825,0.08362785,2.411402,19.55393
7147.346,0.000491,78034.16,2.387803,0.2190434,0.1435073,0.0006754885,0.08027022,1.486786,19.66156
7396.872,0.00048,32133.98,2.523015,0.2156514,0.1030655,0.0006087097,0.08331922,2.252676,19.78127
