age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
61.92272,1.32e-06,1.930906e-05,0.6541465,0.651001,0.0,0.06784422,0.06850142,53.87824,270.0
171.377,2.6e-05,533606.1,2.092853,0.3721806,0.02923602,0.00662811,0.2095848,0.2899983,270.0029
274.7054,6.81e-06,653978.0,2.502905,1.957091,8.817972e-05,0.004634249,0.007579591,0.2827243,270.0036
375.3266,1.9e-05,1318516.0,2.141145,1.867426,0.0001416148,0.00633255,0.008324994,0.202933,270.0055
477.8478,3.06e-05,3780334.0,2.876712,1.641031,0.0003233837,0.003508187,0.01078057,0.1215971,270.0086
580.7656,4.38e-05,8322800.0,3.564693,1.724354,0.0003873177,0.002284747,0.009764047,0.08257116,270.0131
681.7057,5.7e-05,11471220.0,4.719131,1.526635,0.001007355,0.001303669,0.01245721,0.07121816,270.0189
782.882,5.76e-05,39012440.0,6.662042,1.492803,0.002471619,0.0006541627,0.01302854,0.03910188,270.0247
885.9279,6.76e-05,113474800.0,10.83684,1.416453,0.004183099,0.0002472328,0.01447129,0.02320274,270.0317
986.7106,2.23e-05,277298200.0,24.35601,1.430703,0.01094797,4.894435e-05,0.01418456,0.01511403,270.0339
1086.985,3.2e-05,450637100.0,9.438769,1.379394,0.01708131,0.0003259034,0.0152596,0.01217369,270.0371
1187.305,0.000142,446738000.0,9.180191,1.451994,0.01664972,0.0003445392,0.01377249,0.01222469,270.0513
1289.252,9.13e-05,174702000.0,13.16438,1.391249,0.01835083,0.0001675545,0.01500194,0.01989275,270.0606
1389.995,0.000196,186539700.0,20.81155,1.41797,0.01104767,6.704698e-05,0.01444288,0.01941865,270.0803
1490.974,1.22e-05,203790700.0,17.53783,1.399599,0.01544582,9.441442e-05,0.01482458,0.01901939,270.0816
1592.246,8.78e-05,393008800.0,13.77723,1.41255,0.02058669,0.000152996,0.01455447,0.01414992,270.0905
1692.569,7.78e-05,846871700.0,16.50614,1.398887,0.0305508,0.0001065921,0.01484059,0.009569129,270.0983
1794.949,6.47e-05,305799700.0,13.51583,1.403898,0.03083353,0.0001589794,0.01473517,0.01637792,270.1049
1895.292,9.28e-05,973275400.0,19.57097,1.419885,0.03600724,7.582573e-05,0.01440571,0.009443554,270.1142
1997.162,7.51e-05,518763000.0,9.875173,1.423528,0.0382146,0.0002978268,0.01433247,0.01300781,270.1219
2099.131,0.000659,94035180.0,9.993582,1.413762,0.004799962,0.0002908831,0.01453478,0.03003889,270.189
2200.851,4.08e-05,720608400.0,15.86441,1.419866,0.02664958,0.0001154302,0.01441028,0.01076844,270.1932
2301.672,0.000124,402100500.0,11.52589,1.398315,0.03348205,0.0002186947,0.01485857,0.01458839,270.2057
2402.201,0.000291,233895600.0,10.85216,1.390275,0.01824113,0.0002467184,0.01503253,0.01930151,270.235
2505.104,9.44e-05,485238800.0,22.91787,1.406031,0.02542242,5.532233e-05,0.01469803,0.0135862,270.2447
2608.682,1.55e-05,268778400.0,21.33426,1.380323,0.02108171,6.384047e-05,0.01525071,0.01885136,270.2463
2710.856,5.16e-05,249621700.0,11.92227,1.406645,0.03830295,0.0002044287,0.01468555,0.02080799,270.2516
2813.735,0.000443,130727700.0,3.850566,1.462879,0.02379281,0.001960124,0.0135805,0.03005619,270.2972
2914.296,0.000221,210467600.0,17.34437,1.40571,0.01397496,9.66164e-05,0.01470876,0.02347485,270.3194
3017.319,1.58e-05,201372500.0,18.82619,1.404131,0.01782716,8.200594e-05,0.01474195,0.02380571,270.321
3119.522,0.000175,486954400.0,7.467973,1.395835,0.02524149,0.0005211866,0.01491868,0.01571444,270.3389
3222.48,0.000172,254044900.0,14.11091,1.425215,0.02998383,0.0001459878,0.01431086,0.02200693,270.3566
3324.217,0.000171,445052000.0,7.5145,1.39108,0.03760127,0.0005148185,0.01502278,0.01725895,270.3739
3426.144,0.000353,322131400.0,11.50441,1.392113,0.02465237,0.0002196763,0.01500247,0.02089872,270.4099
3527.522,0.000139,980434100.0,12.57399,1.439556,0.03411814,0.0001839027,0.01403063,0.01235733,270.4239
3627.523,0.000343,283794000.0,8.395419,1.411455,0.02278838,0.0004125762,0.01459671,0.02347224,270.4583
3730.172,0.000296,251325200.0,8.573607,1.414961,0.01975866,0.0003956492,0.01452608,0.0256529,270.4887
3830.557,0.000247,225322000.0,9.515366,1.451869,0.02002034,0.0003212373,0.01379819,0.02768521,270.5135
3930.701,0.000125,478499200.0,13.09764,1.386839,0.02830775,0.000169555,0.01512324,0.01955176,270.526
4030.862,6.67e-05,466261800.0,23.37304,1.384089,0.0367168,5.324473e-05,0.01518375,0.0205373,270.5327
4131.977,0.000157,954019000.0,14.07189,1.361567,0.05310033,0.0001469019,0.01569114,0.01473068,270.5486
4234.002,0.000646,274469900.0,13.43975,1.380727,0.02542783,0.0001610853,0.01526238,0.02813247,270.6145
4337.319,0.000244,342363900.0,12.5358,1.368578,0.03203591,0.0001851713,0.01553599,0.02536664,270.6398
4439.835,0.000179,784378600.0,14.88714,1.394932,0.04122602,0.000131306,0.01495551,0.01675865,270.6581
4540.25,0.000383,1204442000.0,22.08305,1.410357,0.04620895,5.968297e-05,0.01463223,0.01337235,270.6966
4640.838,7.51e-05,637314800.0,16.12754,1.398873,0.03406271,0.0001119037,0.01487387,0.01825221,270.7041
4743.079,0.000503,904190100.0,6.829346,1.426106,0.05526046,0.0006241722,0.01431394,0.01502341,270.7556
4844.961,0.000634,424053600.0,16.93358,1.393728,0.02724368,0.0001015473,0.01499028,0.02171389,270.8202
4946.749,0.000253,1063568000.0,14.69008,1.357175,0.03925291,0.0001349457,0.01581012,0.01363054,270.846
5047.743,0.000112,1045738000.0,15.47913,1.361476,0.05684667,0.0001215435,0.01571103,0.0136481,270.8572
5148.749,0.000454,881927900.0,9.67971,1.376567,0.06112651,0.0003108661,0.01537103,0.01472278,270.9031
5250.981,0.000681,193014400.0,8.948478,1.433769,0.02202512,0.0003638405,0.01417264,0.03150051,270.9727
5351.418,0.000122,522501600.0,11.93701,1.40047,0.04046153,0.0002044738,0.01485528,0.01940843,270.9849
5452.595,0.000238,667986700.0,20.6634,1.376579,0.0467881,6.824381e-05,0.01537676,0.01742222,271.009
5553.758,4.94e-05,574961500.0,16.11922,1.447955,0.05879912,0.0001121468,0.01389839,0.01923242,271.014
5655.229,0.000334,948555900.0,7.756482,1.454622,0.07924126,0.0004843944,0.013773,0.01521239,271.0479
5755.341,0.0011,250080600.0,4.160904,1.57682,0.03802564,0.00168395,0.01172574,0.02987324,271.1579
5857.083,0.000343,342719000.0,16.37188,1.396735,0.02948131,0.0001087835,0.01494624,0.02556632,271.1928
5957.491,7.66e-05,694306100.0,13.73198,1.362198,0.05670437,0.0001546343,0.01571417,0.01774578,271.2005
6057.959,0.000479,798695400.0,11.80052,1.40375,0.0684052,0.0002094339,0.01480026,0.01637972,271.2486
