age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
171.377,0.0109,436977.8,2.633044,0.3388503,1.583976,0.004205843,0.2539531,0.3204617,270.0
171.377,0.0109,436977.8,2.633044,0.3388503,1.583976,0.004205843,0.2539531,0.3204617,271.188
271.876,6.27e-05,4856.023,2.962451,0.3590508,1.141218e-05,0.00332259,0.2261868,3.163508,271.1943
372.0778,1.12e-05,9460.442,2.836253,0.3651508,1.859982e-05,0.003624856,0.2186936,2.315843,271.1954
472.5834,1.55e-05,19597.11,2.467942,0.3703981,2.473284e-05,0.004787545,0.2125422,1.642544,271.197
572.6263,1.92e-05,5299.933,2.977041,0.3744806,1.570754e-05,0.003290152,0.2079347,3.182015,271.1989
673.0841,2.19e-05,12956.72,2.471224,0.3753613,1.976597e-05,0.004774902,0.2069616,2.048735,271.2011
773.4476,2.44e-05,11644.26,2.700155,0.3776229,3.459298e-05,0.003999585,0.2044918,2.164271,271.2035
874.0105,2.69e-05,19802.24,2.423679,0.3830138,3.677854e-05,0.004964166,0.1987777,1.686229,271.2062
974.2668,2.94e-05,18858.88,2.235576,0.3879893,3.885766e-05,0.005834745,0.1937142,1.751735,271.2092
1074.496,3.16e-05,10941.42,2.825845,0.3935248,4.138285e-05,0.003651817,0.1883048,2.355163,271.2124
1175.147,3.4e-05,22517.36,2.312065,0.4021951,4.157801e-05,0.005455199,0.1802757,1.681636,271.2158
1275.927,3.57e-05,21166.45,2.37223,0.4060803,4.920279e-05,0.005182062,0.1768449,1.749516,271.2194
1376.589,3.77e-05,15734.29,2.808375,0.4104926,4.084591e-05,0.003697532,0.1730659,2.0554,271.2232
1477.327,3.93e-05,17253.02,2.73209,0.4153323,5.000266e-05,0.003906951,0.1690584,1.986049,271.2271
1578.007,4.09e-05,15484.96,2.921029,0.4212952,4.963851e-05,0.003417925,0.164309,2.118279,271.2312
1678.314,4.27e-05,15624.64,2.61916,0.4281766,4.574924e-05,0.004251251,0.1590725,2.135918,271.2355
1778.673,4.42e-05,23086.6,2.680833,0.4354494,5.94538e-05,0.004057964,0.1538057,1.781638,271.24
1878.677,4.62e-05,26960.41,2.333496,0.4452654,2.661719e-05,0.005356001,0.1471015,1.668279,271.2446
1979.14,4.79e-05,18533.03,2.871275,0.4462861,5.770395e-05,0.003537633,0.1464318,2.036651,271.2494
2079.225,4.96e-05,16683.12,2.621923,0.4541207,5.977623e-05,0.004242581,0.1414254,2.16374,271.2544
2180.118,5.19e-05,41581.59,2.06745,0.4651491,6.001484e-05,0.006823512,0.1348012,1.385573,271.2596
2281.004,5.35e-05,21503.59,2.747382,0.4672351,7.225524e-05,0.003864098,0.1336027,1.952877,271.265
2381.123,5.62e-05,56171.53,2.4587,0.4785159,6.692194e-05,0.004824851,0.1273803,1.223389,271.2706
2481.652,5.85e-05,12027.7,3.174243,0.4801286,5.695339e-05,0.002894835,0.1265287,2.676893,271.2765
2581.973,6.12e-05,70290.67,2.472151,0.4961875,7.720941e-05,0.004772696,0.1184737,1.126519,271.2826
2682.751,6.52e-05,20097.77,3.330973,0.4940785,8.120965e-05,0.002628947,0.1194901,2.127478,271.2892
2782.803,6.88e-05,49816.73,3.136558,0.5071086,9.020042e-05,0.002965023,0.1134313,1.361709,271.2961
2883.523,7.34e-05,120891.2,3.03593,0.5176802,9.828213e-05,0.003164921,0.1088487,0.8822349,271.3035
2983.825,7.78e-05,56568.62,3.605265,0.512515,0.0001069377,0.002244316,0.1110568,1.301261,271.3113
3083.836,8.29e-05,117263.8,3.135993,0.5292478,0.0001269453,0.002966342,0.1041486,0.913936,271.3196
3184.454,8.95e-05,36476.13,4.594101,0.5155089,0.0001077993,0.001382243,0.1097774,1.652407,271.3286
3284.888,9.45e-05,82429.4,4.448582,0.5258622,0.0001330472,0.001474203,0.105501,1.104596,271.3381
3385.051,0.000103,43767.94,4.915325,0.5255527,9.735719e-05,0.00120757,0.1056292,1.527327,271.3484
3485.089,0.000109,31734.05,5.382054,0.5258118,0.0001415625,0.001007251,0.1055293,1.793265,271.3593
3585.465,0.000117,40508.73,5.201328,0.5325262,0.0001183111,0.001078509,0.1028893,1.588293,271.371
3685.813,0.000126,116051.8,5.095956,0.5368999,0.0001667522,0.001123623,0.1012245,0.9389881,271.3836
3785.996,0.000132,222833.4,5.153121,0.5495728,0.0001790458,0.001098885,0.09661455,0.6784562,271.3969
3886.502,0.000143,137748.8,4.460557,0.5479631,0.0001799104,0.001466687,0.0971881,0.8662406,271.4113
3987.129,0.000149,47578.11,5.459682,0.5373734,0.0001732141,0.0009790498,0.1010618,1.472337,271.4263
4087.692,0.00016,291337.4,3.917314,0.5792506,0.0002050536,0.001901902,0.08698252,0.5894152,271.4424
4187.728,0.000169,36288.14,5.432781,0.5434723,0.0001182621,0.0009888885,0.0988182,1.668799,271.4593
4288.21,0.000178,123028.1,5.201453,0.557382,0.000220206,0.001078874,0.09395375,0.9029374,271.4771
4388.507,0.00019,392743.7,3.846142,0.5988924,0.0002966708,0.001973329,0.08138653,0.5083721,271.4962
4489.037,0.000198,105616.6,4.878144,0.5739659,0.0002602092,0.001226797,0.08861546,0.9893297,271.5161
4589.674,0.000208,137636.2,4.312388,0.5832678,0.0002830476,0.001569926,0.08581809,0.8731909,271.537
4689.858,0.000218,393045.5,3.853627,0.6125603,0.0002795059,0.00196612,0.07781292,0.5197687,271.5589
4789.89,0.000225,636885.5,2.983114,0.6487008,0.0003117064,0.003281297,0.06938992,0.411875,271.5814
4890.575,0.000236,207062.8,3.573116,0.6091783,0.0002756575,0.002287329,0.07869263,0.7254897,271.6052
4991.047,0.000242,94266.81,4.089465,0.6159156,0.0002558067,0.001746339,0.0769873,1.083199,271.6295
5091.963,0.000253,120403.5,3.981302,0.6383685,0.0002910199,0.001842688,0.07167357,0.9669801,271.655
5192.008,0.000262,421331.3,3.57834,0.6598462,0.0003703849,0.002281289,0.06709006,0.5184824,271.6812
5292.509,0.00027,611881.5,3.716054,0.683798,0.000333058,0.002115546,0.06247856,0.4343218,271.7083
5392.662,0.00028,2001357.0,3.043222,0.7471012,0.0003700575,0.003154742,0.05234465,0.2424373,271.7364
5492.851,0.000283,137351.7,3.357383,0.6781643,0.0003235207,0.002592235,0.06353403,0.9372904,271.7647
5592.953,0.000297,104943.1,3.155206,0.6821537,0.0002422023,0.002935406,0.0627999,1.085652,271.7945
5693.048,0.000302,2991697.0,1.07188,0.7248245,0.000388328,0.02543776,0.05562959,0.2066515,271.8248
5794.031,0.000309,550853.4,2.094833,0.7387855,0.0004307783,0.006660735,0.05355307,0.4801721,271.856
5894.38,0.000321,367380.3,2.752965,0.7370681,0.0004521107,0.003857189,0.05380926,0.5957181,271.8882
5994.603,0.000326,167102.9,2.744498,0.710473,0.0003637979,0.003881489,0.05792005,0.8920547,271.9208
6095.474,0.000338,166191.0,2.738075,0.7220365,0.0003934181,0.003900205,0.0560867,0.892818,271.9549
6196.418,0.000345,250542.5,2.345012,0.7291564,0.0004452564,0.00531794,0.05500373,0.7279063,271.9897
6297.344,0.000352,465404.1,3.080206,0.7307764,0.0003621305,0.003082693,0.05476723,0.5348559,272.0252
6397.59,0.000363,449566.1,2.22277,0.7474178,0.0004926731,0.005920503,0.05236253,0.547973,272.0615
6498.4,0.000366,189018.9,2.334952,0.737619,0.0003985663,0.005365993,0.05377024,0.8475429,272.0984
6599.077,0.000375,201362.4,2.255134,0.7460071,0.0004483101,0.005753362,0.05257512,0.8234933,272.1362
6699.794,0.000379,366737.5,2.434556,0.7638881,0.0004615327,0.004937274,0.05014958,0.6172861,272.1744
6800.891,0.000384,1146052.0,2.448412,0.8148171,0.0005349081,0.004882243,0.04408269,0.349238,272.2132
6901.473,0.000398,193614.9,2.14635,0.7453677,0.0004125371,0.006354052,0.0526879,0.8571314,272.2532
7001.589,0.0004,202241.6,2.230579,0.7517393,0.0004359715,0.005884103,0.05180611,0.8341747,272.2932
7101.66,0.000409,631995.8,2.638311,0.8013454,0.0005321946,0.004206573,0.0455975,0.4689358,272.3342
7202.549,0.000413,374034.4,2.43943,0.7614274,0.0005269484,0.004921187,0.05051144,0.6022435,272.3759
7302.713,0.000418,831705.7,2.662558,0.7964439,0.0004930555,0.004131568,0.04617456,0.4044828,272.4178
7403.156,0.000422,4573626.0,3.711467,0.7501116,0.000623263,0.002126616,0.05206294,0.1743879,272.4602
7503.237,0.000432,1503551.0,2.575242,0.7774626,0.0002610483,0.00441787,0.0484719,0.3031187,272.5034
7603.543,0.000437,658704.7,2.732827,0.7596979,0.0005153271,0.003923686,0.05077346,0.4542373,272.5472
7703.648,0.000439,290145.4,2.565488,0.7443383,0.0004689875,0.004452955,0.052899,0.6820385,272.5911
7804.292,0.000454,1565588.0,3.078903,0.7708546,0.0005219145,0.003092209,0.04933054,0.2938934,272.6369
7904.881,0.000449,2054463.0,3.125261,0.7435768,0.0005861915,0.003001649,0.05302501,0.2553014,272.682
8005.154,0.00045,1568564.0,3.574531,0.7705959,0.0004429744,0.002294912,0.04937996,0.2926112,272.7272
8106.036,0.000458,1585473.0,3.306874,0.744927,0.0005918018,0.002681897,0.05285059,0.2891201,272.7733
8207.134,0.00046,1803610.0,4.588146,0.7269701,0.0007140857,0.001393403,0.05550319,0.2689836,272.8199
8307.173,0.000465,436952.8,3.26785,0.7778238,0.0005595424,0.002747265,0.04849114,0.5589914,272.8664
8408.094,0.000461,1367090.0,4.401516,0.7390431,0.0006741747,0.001514586,0.05372285,0.3184241,272.9129
8508.57,0.000468,3746638.0,4.580795,0.7456088,0.0006196602,0.001398593,0.05278993,0.1921103,272.9599
8608.792,0.000463,1064301.0,4.671827,0.7491077,0.0006270423,0.001344848,0.0523068,0.3540178,273.0064
8709.459,0.000474,2991791.0,5.737996,0.774818,0.0007184743,0.0008916652,0.04890159,0.2133898,273.0541
8809.515,0.000477,770529.3,4.454591,0.7918029,0.0005550732,0.001479729,0.04683426,0.4252483,273.1018
8910.494,0.000472,368141.6,4.38075,0.7623229,0.0005574977,0.001530299,0.05053536,0.6122696,273.1495
9011.115,0.000475,3779702.0,5.318206,0.7682837,0.0005676609,0.001038529,0.04976292,0.1899695,273.1973
9111.557,0.000477,380037.7,4.553209,0.7879327,0.0005669903,0.001417065,0.04732022,0.5992204,273.2452
9212.091,0.000468,1494133.0,5.35943,0.798994,0.0006155797,0.001022969,0.04602698,0.3020897,273.2923
9312.431,0.000475,300348.8,4.483887,0.7826013,0.0005052454,0.001461725,0.04798371,0.6761113,273.34
9412.945,0.000457,320584.5,4.97933,0.8018049,0.0004706646,0.001185511,0.04572041,0.6569025,273.3859
9513.497,0.000471,533379.3,5.31944,0.814892,0.0005490284,0.001038941,0.0442713,0.5122862,273.4332
9613.886,0.00046,4240418.0,6.345417,0.7882142,0.0005572829,0.0007302561,0.04732679,0.1821896,273.4794
9714.664,0.00047,481988.7,5.521765,0.8079696,0.0006100215,0.0009645275,0.0450485,0.554975,273.5268
9814.922,0.000473,2069680.0,6.37687,0.7987397,0.0004434592,0.0007233198,0.04610361,0.2668406,273.5742
9915.446,0.000456,1302918.0,6.005343,0.8158035,0.0007074795,0.0008157223,0.04420251,0.3396195,273.6201
10016.41,0.000474,513791.0,5.478169,0.7887871,0.0005271929,0.000980444,0.04729052,0.5457741,273.668
10117.16,0.00047,741218.5,6.396705,0.7781768,0.0005378107,0.0007192104,0.04859729,0.4617262,273.7154
10217.43,0.000477,354369.3,5.941038,0.8079183,0.0004403506,0.0008339105,0.04509302,0.6741298,273.7632
10318.28,0.000457,2304003.0,7.043151,0.8072675,0.0006944609,0.0005934484,0.04517332,0.2599803,273.8093
10419.14,0.000467,4779234.0,7.08104,0.7711525,0.0005841851,0.000587215,0.04951202,0.182,273.8563
10519.26,0.000472,565238.0,6.358684,0.8048806,0.000449429,0.0007283354,0.04545723,0.5264809,273.9035
10619.97,0.000463,1666594.0,7.043987,0.7912004,0.0005851234,0.0005936116,0.04705073,0.3057758,273.9501
10720.79,0.000479,899861.2,7.061422,0.7785366,0.0005448142,0.0005907876,0.04860238,0.4196396,273.9984
10820.86,0.000468,968375.1,7.221619,0.7753792,0.0005141061,0.0005649637,0.04900736,0.406912,274.0453
10921.03,0.000472,652269.3,7.551326,0.766906,0.0005391662,0.0005167945,0.05010488,0.5010352,274.0926
11022.03,0.000474,2512835.0,7.701834,0.7787641,0.0006745977,0.00049688,0.04859908,0.2571225,274.1405
11122.39,0.000454,2039217.0,7.898105,0.7524747,0.0006803151,0.0004725698,0.05206286,0.286222,274.186
11222.68,0.000479,625154.7,7.463139,0.7943797,0.0005653121,0.000529352,0.04672306,0.5199266,274.2341
11322.7,0.000451,1898060.0,7.710857,0.8038002,0.0006988426,0.0004959679,0.04564178,0.3025649,274.2793
