age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
3512.415,3.61e-05,73411.86,11.77163,1.270679,7.574822e-06,0.0002105339,0.01806856,1.222871,271.3353
3612.44,4.86e-05,625260.4,7.768475,1.260144,8.883361e-05,0.0004834273,0.01837225,0.4097885,271.3401
3712.565,8.56e-05,343571.0,8.581082,1.338942,4.428372e-05,0.0003962159,0.01627393,0.5544794,271.3487
3812.887,9.55e-05,880618.4,9.343156,1.298644,0.0001205558,0.0003342288,0.01730019,0.3477424,271.3583
3913.414,0.000107,954693.8,8.961524,1.366292,0.0001463948,0.0003633157,0.01563006,0.3423441,271.369
4013.934,0.000112,1148798.0,9.273577,1.331018,0.0001583372,0.00033929,0.01647015,0.3150269,271.3802
4114.664,0.00012,12582150.0,15.84646,1.376258,0.0002273222,0.0001162037,0.01540582,0.0963868,271.3923
4214.703,0.000129,1049578.0,9.273951,1.328111,0.0001763112,0.0003392934,0.01654384,0.3401964,271.4052
4315.279,0.00013,1289106.0,11.11891,1.365646,0.0001740698,0.0002360486,0.01564765,0.3140014,271.4183
4415.324,0.000148,1367513.0,9.59566,1.33841,0.0002027486,0.0003169562,0.01629185,0.3102731,271.433
4516.19,0.00015,1354380.0,10.98224,1.399296,0.0002138825,0.0002419864,0.01490576,0.3155444,271.4482
4616.367,0.000163,875676.5,11.42794,1.377953,0.0001395696,0.0002234923,0.01537198,0.4000789,271.4645
4717.205,0.000174,1418309.0,10.89669,1.402962,0.0002341574,0.0002458313,0.01482978,0.3180913,271.482
4817.249,0.000178,1281303.0,11.9649,1.381689,0.000221046,0.0002039092,0.01529095,0.3389952,271.4998
4917.751,0.000191,1660242.0,11.71394,1.398735,0.0002445841,0.0002127548,0.01492156,0.3023973,271.519
5018.028,0.000197,1565651.0,11.18619,1.407553,0.0002748233,0.00023332,0.01473624,0.3156553,271.5388
5118.19,0.000205,2773382.0,12.70475,1.398501,0.000267478,0.0001808909,0.01492874,0.2405776,271.5593
5218.455,0.000214,1420895.0,11.71454,1.40114,0.0002647047,0.0002127809,0.01487374,0.3421193,271.5808
5318.578,0.000223,1450744.0,12.05127,1.432114,0.0002761764,0.0002010725,0.01423847,0.3415855,271.6031
5419.547,0.000237,1616468.0,11.72336,1.426882,0.0003150444,0.0002124966,0.01434432,0.3267703,271.627
5520.51,0.000244,1677684.0,12.59597,1.425878,0.0003360779,0.0001840907,0.01436583,0.3235815,271.6517
5620.526,0.000255,1526845.0,12.3891,1.417625,0.0003234125,0.0001903078,0.01453493,0.3389672,271.6772
5721.428,0.000265,1792980.0,12.48296,1.45329,0.0003693694,0.000187475,0.01383164,0.315451,271.7039
