age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
320.4672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83333
579.0364,0.0,1.514157e-10,2.998799e-06,4.142905e-06,0.0,129437100.0,67817780.0,0.0004912132,10.83333
863.0479,0.0,42377.96,1636235000.0,3006874000.0,0.0,4.347719e-22,1.287425e-22,115047600000.0,10.83333
1126.033,0.0,661094.9,0.3785846,0.3606909,18.98066,0.008121309,0.008947082,0.2524279,10.83333
1226.279,1.51e-07,60608.66,0.1353764,0.4331082,1.711183e-07,0.06351357,0.00620525,3.228787,10.83335
1326.415,2.98e-07,133448.6,0.8512691,0.4976015,3.010307e-07,0.001606273,0.004700993,2.460219,10.83338
1426.451,4.62e-07,49175.89,1.121285,0.5388866,3.290357e-07,0.0009258123,0.004008296,4.214765,10.83342
1526.891,6.31e-07,57096.8,0.9669634,0.5760424,4.1681e-07,0.001244907,0.003507906,4.17323,10.83349
1627.353,7.96e-07,192225.6,0.7270046,0.6148844,6.667701e-07,0.002202346,0.003078739,2.364962,10.83357
1727.431,9.59e-07,100797.8,0.5867708,0.6361867,7.03394e-07,0.003380853,0.002876035,3.438089,10.83366
1827.469,1.12e-06,289109.6,1.169164,0.6648902,9.118669e-07,0.0008515621,0.002633102,2.045579,10.83378
1927.579,1.26e-06,119484.1,0.5757847,0.6832778,8.092421e-07,0.003511171,0.002493318,3.193246,10.8339
2027.676,1.42e-06,142575.2,0.5675211,0.7066142,8.878994e-07,0.003614212,0.002331379,2.767746,10.83404
2127.835,1.57e-06,646478.2,2.192863,0.740884,7.582695e-07,0.000242081,0.00212072,1.314006,10.8342
2228.196,1.71e-06,149104.1,0.5866672,0.7383026,9.807525e-07,0.003382258,0.002135608,2.585881,10.83437
2328.318,1.85e-06,573399.4,1.550303,0.7527301,1.249159e-06,0.0004843554,0.00205456,1.369704,10.83456
2428.389,1.99e-06,520860.3,1.624836,0.7569311,1.406085e-06,0.0004409465,0.002031853,1.502175,10.83476
2528.446,2.13e-06,254420.5,1.02572,0.7666399,1.389882e-06,0.001106511,0.001980754,2.41279,10.83497
2628.472,2.25e-06,248893.7,1.068926,0.7732284,1.275075e-06,0.001018889,0.001947182,2.466014,10.8352
2728.643,2.38e-06,254162.5,1.134347,0.7802382,1.37335e-06,0.0009047727,0.001912392,2.542945,10.83543
2828.945,2.53e-06,285452.5,1.219252,0.7843647,1.499031e-06,0.0007831667,0.001892366,2.202468,10.83569
2929.17,2.64e-06,259962.8,1.337943,0.7917623,1.578285e-06,0.0006503934,0.001857213,2.231208,10.83595
3029.183,2.77e-06,299382.7,1.090716,0.811279,1.661926e-06,0.0009786763,0.001768976,1.998092,10.83623
3129.626,2.89e-06,277218.0,1.218451,0.8048936,1.801504e-06,0.0007842548,0.001797201,1.928713,10.83652
3229.763,3.03e-06,285819.8,1.178169,0.8033445,1.896325e-06,0.0008388225,0.001804188,2.039113,10.83682
3330.016,3.16e-06,290660.0,1.257326,0.8067293,1.913219e-06,0.0007365501,0.001789131,1.861501,10.83714
3430.395,3.28e-06,288358.2,1.263726,0.8112334,1.924764e-06,0.0007291304,0.001769372,1.979858,10.83747
3530.56,3.43e-06,335286.6,1.261018,0.8117268,2.087201e-06,0.0007322872,0.001767277,2.079754,10.83781
320.4672,0.0,-1.384763,-4.721182,-4.721182,0.0,5.222192e-17,5.222192e-17,-3.868575,10.83333
579.0364,0.0,1.968344,62317.55,56753.5,0.0,2.997317e-13,3.613834e-13,5476918.0,10.83333
863.0479,0.0,1.770326e-05,0.5876829,0.5925784,0.0,0.003370285,0.003314828,52.36215,10.83333
1126.033,0.0,661094.9,0.3785846,0.3606909,18.98066,0.008121309,0.008947082,0.2524279,10.83333
1226.279,1.51e-07,60608.65,0.1353755,0.4331082,1.711183e-07,0.06351436,0.00620525,3.228788,10.83335
1326.415,2.98e-07,133448.6,0.8512693,0.4976016,3.010305e-07,0.001606272,0.004700993,2.460221,10.83338
1426.451,4.62e-07,49175.9,1.121287,0.5388867,3.290358e-07,0.0009258089,0.004008295,4.214767,10.83342
