age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
320.4672,0.0,656682.1,0.3766144,0.3600818,18.97421,0.01898666,0.02077017,0.2529809,25.06399
430.7078,1.61e-05,55826.65,0.8254972,0.356451,5.208296e-05,0.003952224,0.02119694,1.363647,25.06576
532.4813,2.03e-06,11189.08,1.11574,0.3512352,2.389896e-05,0.002163465,0.02183131,6.321537,25.06597
635.902,2.41e-06,60368.15,0.7862682,0.349032,3.057017e-05,0.004356509,0.022108,2.510231,25.06622
740.1906,2.7e-06,34355.15,0.4158322,0.3485529,3.165991e-05,0.01557573,0.02216905,3.165293,25.0665
840.5005,3.1e-06,18892.71,1.105416,0.3490549,3.095038e-05,0.002204135,0.02210559,4.555588,25.06681
940.545,3.13e-06,47524.77,1.100372,0.3523334,1.612789e-05,0.002224415,0.02169637,3.199521,25.06712
1042.661,3.5e-06,11421.66,1.192107,0.3522341,3.295953e-05,0.001895267,0.02170891,6.141254,25.06748
1147.577,4.34e-06,11129.29,1.177901,0.355382,3.302575e-05,0.001941291,0.02132639,6.602269,25.06794
1250.815,4.37e-06,31024.15,0.9568367,0.3590378,4.593913e-05,0.002941983,0.02089467,4.00905,25.06839
1352.342,5.06e-06,9139.905,0.8681257,0.3615826,2.282947e-05,0.003574038,0.020602,9.265141,25.0689
1457.552,5.32e-06,14982.11,0.9998898,0.3676048,4.395952e-05,0.002694198,0.01993295,6.421618,25.06946
1563.399,5.72e-06,12573.43,1.173708,0.3711387,4.069712e-05,0.001955347,0.01955561,6.265969,25.07007
1668.01,6.13e-06,11731.14,1.128978,0.3759049,3.881543e-05,0.002113411,0.01906333,6.747597,25.07071
1769.895,6.65e-06,14379.8,0.9771051,0.3800086,4.678004e-05,0.002821523,0.01865431,6.218153,25.07139
1875.002,7.4e-06,60850.58,0.9739871,0.3861607,8.329757e-05,0.002839703,0.01806522,2.717731,25.07216
1980.338,7.2e-06,19312.85,1.042907,0.3893013,6.355217e-05,0.002476859,0.01777544,5.299095,25.07292
2080.429,7.24e-06,15834.83,0.937397,0.3929677,5.285073e-05,0.003065895,0.01744579,6.703507,25.07365
2183.792,8.1e-06,15400.21,0.9245341,0.3979752,5.18697e-05,0.003151902,0.01701009,6.29519,25.07448
2284.514,8.2e-06,85859.37,0.9544429,0.4070137,7.818288e-05,0.002957554,0.01626352,2.817597,25.07531
2389.397,9.03e-06,49553.63,0.6287725,0.4082062,7.70275e-05,0.006814935,0.01616924,3.488836,25.07626
2490.49,9.25e-06,88116.56,0.8703269,0.4135304,8.274138e-05,0.003557131,0.01575613,2.82903,25.07719
2591.516,9.89e-06,27255.01,0.7137897,0.4173854,7.871078e-05,0.005288604,0.01546703,4.416572,25.07819
2695.399,1.08e-05,48309.57,0.6587906,0.4189403,9.150766e-05,0.006208775,0.01535311,3.333875,25.07931
2802.446,9.64e-06,85379.99,0.7626813,0.4269327,0.0001012138,0.004632677,0.01478426,2.761049,25.08034
