age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
906.8645,0.0082,203531.5,1.913556,0.4526772,0.0001888086,0.0003426415,0.006122728,0.5743457,10.83333
1009.688,0.0082,203531.5,1.913556,0.4526772,0.0001888086,0.0003426415,0.006122728,0.5743457,11.67625
1113.109,1.03e-06,21587.7,2.508243,0.4373901,3.547989e-06,0.0001994283,0.006558251,3.899178,11.67635
1215.766,6.49e-07,22968.82,2.4055,0.4304548,3.879533e-06,0.000216829,0.006771315,4.579062,11.67642
1316.646,8.26e-07,29397.29,2.24466,0.4353945,4.518691e-06,0.0002490175,0.006618584,4.300903,11.6765
1418.101,1.01e-06,13051.73,2.628076,0.4426455,5.35163e-06,0.0001816597,0.00640357,6.356231,11.67661
1520.66,1.22e-06,10643.4,2.449134,0.4513082,4.36584e-06,0.0002091769,0.006160163,7.314086,11.67673
1622.485,1.43e-06,17740.6,2.229249,0.4652685,6.499209e-06,0.0002524799,0.005796109,5.815205,11.67688
1723.947,1.6e-06,61492.78,1.375564,0.4858118,6.434347e-06,0.0006631138,0.005316348,3.12194,11.67704
1825.338,1.74e-06,15832.83,2.246278,0.4818059,6.715158e-06,0.0002486731,0.005405199,6.605851,11.67722
1926.023,1.87e-06,46777.3,1.766939,0.4931664,8.296299e-06,0.0004019014,0.00515912,4.02809,11.6774
2026.214,1.97e-06,69081.2,1.516393,0.4930876,9.794946e-06,0.0005456903,0.005160853,3.142849,11.6776
2126.551,2e-06,16232.37,1.955706,0.4972198,6.588815e-06,0.0003280722,0.005075513,6.709083,11.6778
2228.168,2.15e-06,17892.27,1.967765,0.5012457,5.32411e-06,0.0003240695,0.004994399,6.473234,11.67802
2328.722,2.2e-06,109829.0,1.161053,0.5170443,9.601557e-06,0.000930869,0.004693935,2.63193,11.67824
2431.141,2.23e-06,67033.53,1.405485,0.5108759,1.036535e-05,0.0006352548,0.004808059,3.593354,11.67847
2534.306,2.32e-06,27478.66,1.395876,0.5094743,9.095281e-06,0.0006440444,0.004834646,4.688612,11.67871
2637.227,2.39e-06,27288.19,1.578018,0.5103815,9.067742e-06,0.0005039578,0.004817572,5.251109,11.67896
