accrate times,accrate,average times,average density,average vinfinity,average cinfinity,average temperature,HL radius,BH mass
10000.0,0.000747,10000.0,3946450.0,1.215162,0.8964339,1540.096,0.03626682,273.5765
10129.256222763868,0.000658,10051.243008989488,3936790.0,1.225789,0.897258,1542.931,0.03565069,273.653
10258.512445527735,0.000793,10102.486017978976,3809360.0,1.237459,0.9084304,1581.595,0.03499121,273.7313
10387.768668291603,0.000673,10153.729026968464,3795130.0,1.272082,0.897242,1542.879,0.03312178,273.8094
10517.02489105547,0.000771,10204.972035957951,3781760.0,1.332139,0.8916168,1523.595,0.03021122,273.8874
10646.281113819337,0.00089,10256.21504494744,3655180.0,1.380552,0.9017394,1558.388,0.0281375,273.9631
10775.537336583204,0.000644,10307.458053936927,3642080.0,1.460045,0.8909362,1521.273,0.02516388,274.0391
10904.793559347072,0.000738,10358.701062926415,3388990.0,1.48666,0.9080688,1580.344,0.02427769,274.101
11034.049782110938,0.000658,10409.944071915903,3406280.0,1.559459,0.8900898,1518.387,0.02206889,274.1738
11163.306004874807,0.000814,10461.18708090539,3401730.0,1.649344,0.8859379,1504.257,0.01973425,274.2473
11292.562227638673,0.000662,10512.430089894879,3308330.0,1.721302,0.8942589,1532.647,0.01812362,274.3194
11421.818450402541,0.000727,10563.673098884366,3301960.0,1.816637,0.8853149,1502.145,0.01627557,274.3923
11551.074673166408,0.000677,10614.916107873854,3299910.0,1.912501,0.8830796,1494.571,0.01468873,274.466
11680.330895930276,0.000725,10666.159116863342,3148110.0,1.969793,0.8983208,1546.607,0.01385042,274.5337
11809.587118694144,0.000814,10717.40212585283,3347270.0,1.795044,0.8871445,1508.364,0.01668246,274.6058
11938.84334145801,0.000655,10768.645134842318,3372860.0,1.823563,0.8842253,1498.456,0.01616897,274.6787
12068.099564221877,0.000683,10819.888143831806,3734460.0,1.501287,0.905179,1570.317,0.02386225,274.7512
12197.355786985745,0.000679,10871.131152821294,3756830.0,1.451028,0.8977937,1544.8,0.02555061,274.8245
12326.612009749613,0.000703,10922.374161810782,3777550.0,1.411958,0.8959454,1538.447,0.02699136,274.8987
12455.86823251348,0.000693,10973.61717080027,3735950.0,1.405683,0.898894,1548.592,0.02724019,274.9718
12585.124455277346,0.000738,11024.860179789757,3767980.0,1.368206,0.8937548,1530.937,0.02876052,275.0447
12714.380678041214,0.000661,11076.103188779245,3511300.0,1.363635,0.9107988,1589.884,0.02896135,275.088
12843.636900805082,0.000868,11127.346197768733,3705930.0,1.361652,0.8877906,1510.574,0.02905032,275.1598
12972.893123568949,0.000905,11178.58920675822,3752500.0,1.306558,0.8910141,1521.566,0.03156012,275.2319
13102.149346332817,0.000732,11229.832215747709,3732360.0,1.281216,0.9006953,1554.812,0.0328295,275.2989
13231.405569096683,0.000845,11281.075224737197,3819910.0,1.303807,0.8919581,1524.795,0.03170936,275.3701
13360.661791860552,0.000699,11332.318233726684,3853640.0,1.30303,0.8963446,1539.831,0.03175538,275.4388
13489.918014624418,0.000932,11383.561242716172,3954460.0,1.313789,0.8927145,1527.386,0.03124514,275.518
13619.174237388286,0.000868,11434.80425170566,4048130.0,1.381694,0.8896756,1517.006,0.02825755,275.5971
13748.430460152154,0.00102,11486.047260695148,4009120.0,1.418878,0.9006804,1554.769,0.02680357,275.6661
13877.68668291602,0.00088,11537.290269684636,4154140.0,1.467239,0.8915573,1523.434,0.02507202,275.7425
14006.942905679887,0.00114,11588.533278674124,4266990.0,1.563552,0.8890091,1514.739,0.02208441,275.8193
14136.199128443755,0.000853,11639.776287663612,4225240.0,1.611896,0.9019959,1559.319,0.02078533,275.9007
