age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
0,0.0221,403796.0,1.066918,0.4668357,4.657957,0.04704912,0.2457454,0.3297987,270.0
452.8632,0.0221,403796.0,1.066918,0.4668357,4.657957,0.04704912,0.2457454,0.3297987,273.4935
554.4565,0.000479,11100.29,1.74177,0.4807013,7.195394e-05,0.01765666,0.2318139,2.024787,273.5421
655.2017,2.71e-05,8047.617,1.72073,0.4800998,6.216197e-05,0.01809125,0.2323973,2.417306,273.5448
755.5473,2.91e-05,10150.49,1.599,0.4813764,6.100102e-05,0.02095084,0.2311685,2.186984,273.5477
855.9448,3.25e-05,4829.846,1.826536,0.4839749,6.760677e-05,0.01605634,0.2286953,3.218183,273.551
957.3589,3.61e-05,7238.771,1.563377,0.4850142,8.96743e-05,0.02191699,0.2277191,2.660457,273.5547
1057.684,3.95e-05,1803.559,1.806488,0.4911345,6.906394e-05,0.01641512,0.2220819,5.395936,273.5586
1157.762,4.32e-05,2417.401,1.440792,0.5011527,3.159269e-05,0.02580584,0.2132948,4.719273,273.5629
1259.299,4.65e-05,14759.02,1.237818,0.4945809,0.0001002597,0.03496339,0.2190044,1.92477,273.5677
1360.715,4.93e-05,8642.938,1.358233,0.4982257,0.0001079685,0.02903932,0.2158155,2.528537,273.5727
1461.761,5.24e-05,7791.968,1.4076,0.4992313,0.0001198348,0.0270386,0.2149509,2.669984,273.578
1562.898,5.51e-05,7192.131,1.396668,0.5013787,0.0001269394,0.02746406,0.2131177,2.783981,273.5835
1663.548,5.75e-05,12628.23,1.083002,0.5046761,0.0001117332,0.04567742,0.2103461,2.100609,273.5893
1763.583,5.97e-05,2247.217,1.412959,0.5074228,7.263766e-05,0.02683551,0.2080794,4.979912,273.5953
1864.092,6.13e-05,10782.77,1.085249,0.507926,0.0001265991,0.04549039,0.2076717,2.271262,273.6014
1965.193,6.36e-05,9838.231,1.255116,0.5121334,0.0001288464,0.0340111,0.2042781,2.377375,273.6079
2066.774,6.58e-05,11075.24,1.180705,0.5119501,0.0001554975,0.03843396,0.2044292,2.245955,273.6145
2168.39,6.8e-05,7385.414,1.239856,0.5152809,0.0001552812,0.0348551,0.2017997,2.770145,273.6215
2268.467,7e-05,4156.422,1.270532,0.517104,0.0001416967,0.03319312,0.2003842,3.723692,273.6285
2369.267,7.21e-05,6476.714,1.126325,0.5193083,0.0001498165,0.04223793,0.1986917,3.007498,273.6357
2470.833,7.42e-05,5031.424,1.208073,0.5227201,0.0001372508,0.03671601,0.1961117,3.430319,273.6433
2571.02,7.6e-05,6928.043,1.129508,0.5243643,0.0001603522,0.04200245,0.194889,2.942415,273.6509
2671.262,7.82e-05,13730.03,0.8410812,0.5279781,0.0001707192,0.07575122,0.1922356,2.104061,273.6587
2772.15,7.95e-05,9567.315,1.11791,0.5298587,0.0001666045,0.0428809,0.1908788,2.527444,273.6667
2873.602,8.23e-05,12672.49,0.7624331,0.5347607,0.0001680614,0.09219067,0.1874008,2.213018,273.6751
2973.789,8.42e-05,2505.936,1.068493,0.5396897,6.815669e-05,0.04694179,0.1839988,5.006109,273.6835
3074.905,8.58e-05,10410.36,1.001878,0.5375689,0.0001569475,0.05339329,0.1854592,2.470659,273.6922
3175.038,8.76e-05,12488.57,1.022136,0.5419231,0.0001882176,0.05129946,0.1824966,2.265463,273.701
3276.607,8.92e-05,14519.91,0.8994585,0.5459021,0.0002122979,0.06624937,0.1798517,2.109341,273.71
3376.912,9.08e-05,12628.31,0.863743,0.5472538,0.000216438,0.07184375,0.1789701,2.270893,273.7191
3478.512,9.34e-05,15056.02,0.9439141,0.5538301,0.0002242827,0.06015999,0.174751,2.098055,273.7286
3578.873,9.62e-05,10097.52,0.9394323,0.5574541,0.0001580667,0.06073744,0.1724921,2.574311,273.7383
3680.04,9.82e-05,13648.92,0.945475,0.5605962,0.0002086289,0.05996567,0.1705699,2.228799,273.7482
3780.945,9.9e-05,9177.049,0.9933664,0.5633483,0.0002090951,0.05432494,0.1689134,2.73058,273.7582
3882.472,0.000102,8059.951,1.093196,0.5691289,0.0001948389,0.04485785,0.1655057,2.933524,273.7686
3983.365,0.000104,15417.22,1.013264,0.5735531,0.0001908234,0.05221615,0.1629683,2.137164,273.7791
4084.786,0.000108,11340.02,1.228715,0.5770533,0.0002564805,0.0355112,0.1610035,2.5045,273.7901
4185.803,0.000112,5819.447,1.449862,0.5816024,0.0002045769,0.02550536,0.1585011,3.523965,273.8013
4287.034,0.000115,17211.15,1.209155,0.5873456,0.0001985601,0.03667234,0.155423,2.065367,273.813
4387.3,0.000119,17360.34,1.350552,0.5895146,0.0002499922,0.02939668,0.1542879,2.072287,273.8249
4487.574,0.000124,4798.733,1.627556,0.5978356,9.959378e-05,0.0202427,0.1500296,3.971442,273.8373
4588.106,0.000128,28535.8,1.314951,0.6011378,0.0002718223,0.03101282,0.1483926,1.639603,273.8502
4689.453,0.000133,31126.14,1.577975,0.6102344,0.0003031471,0.02153678,0.1440084,1.581885,273.8636
4789.486,0.000139,13651.94,1.851974,0.6066593,0.0002974487,0.01563627,0.145718,2.400879,273.8776
4890.938,0.000146,12365.56,1.906403,0.6086208,0.0003084033,0.01475693,0.1447879,2.53918,273.8923
4990.995,0.00015,15531.25,1.834775,0.6113379,0.0003291211,0.01593249,0.1435114,2.279822,273.9073
5092.198,0.000157,13537.49,1.975472,0.613619,0.0002750396,0.01374459,0.1424545,2.451902,273.9232
5192.242,0.000164,4590.751,1.874137,0.6221222,0.0001003883,0.01527202,0.1385951,4.224093,273.9396
5292.346,0.00017,20501.96,2.052701,0.6195158,0.0003814925,0.01273135,0.1397723,2.005606,273.9566
5393.145,0.000177,16674.58,2.224364,0.6194496,0.0003865124,0.01084281,0.1398112,2.23303,273.9745
5493.474,0.000187,5534.49,2.330402,0.6244054,0.00016472,0.009879191,0.1376099,3.888175,273.9932
5594.304,0.000193,12808.23,2.377382,0.6225667,0.0003541422,0.00949326,0.1384336,2.560321,274.0127
5695.667,0.000201,102687.7,1.814775,0.6362853,0.000430017,0.01629295,0.1325383,0.9051177,274.0331
5796.117,0.00021,20099.36,2.455331,0.6244901,0.0004216493,0.008901392,0.1376027,2.050445,274.0542
5896.829,0.000219,14764.23,2.520886,0.6268914,0.000426414,0.008445129,0.1365614,2.390575,274.0762
5998.052,0.000226,14974.35,2.621989,0.6244705,0.0004615122,0.007807045,0.1376336,2.375266,274.0991
6098.303,0.000234,20167.63,2.503198,0.6254924,0.0004947633,0.008566324,0.1371959,2.044885,274.1225
6198.499,0.000245,53066.19,2.131806,0.6295687,0.0005454845,0.01181212,0.1354369,1.26126,274.1471
6299.588,0.000252,33263.16,2.476514,0.6295807,0.0005714805,0.008753498,0.1354442,1.598055,274.1726
6400.156,0.000258,34417.13,2.348437,0.6315743,0.0004487578,0.009735225,0.1346031,1.576194,274.1985
6500.518,0.000267,32575.53,2.26839,0.6290237,0.0005487151,0.01043544,0.1357101,1.62595,274.2254
6600.959,0.000276,26399.13,2.460524,0.6296374,0.000572075,0.008870219,0.1354592,1.806072,274.2531
6701.341,0.000287,32201.36,2.374727,0.6318978,0.0006426852,0.009523737,0.1345058,1.639845,274.282
6802.918,0.000295,57676.12,2.278966,0.637391,0.0006750337,0.01034203,0.1322116,1.222868,274.3119
6904.079,0.000308,51972.85,2.229741,0.6358514,0.0006373224,0.01080492,0.1328676,1.285439,274.3431
7005.347,0.000314,56173.33,2.33325,0.6378936,0.0006673323,0.009868656,0.1320334,1.234982,274.3749
7106.214,0.000326,97748.04,2.237431,0.6402682,0.0006446614,0.01073328,0.1310715,0.9338403,274.4078
7206.439,0.000333,77470.97,2.057,0.6462523,0.0006763613,0.01270035,0.1286708,1.047915,274.4412
7307.419,0.000341,27184.13,2.467107,0.6373356,0.0006394977,0.008830032,0.1323128,1.772005,274.4756
7408.146,0.000354,83139.23,2.075018,0.6453154,0.0007685601,0.0124839,0.1290774,1.01611,274.5112
7509.188,0.000364,80643.33,2.152614,0.6438621,0.0007170073,0.01160164,0.129678,1.037339,274.548
7610.858,0.000371,234299.4,1.84427,0.6511788,0.0008129422,0.01580746,0.1267975,0.6088615,274.5857
7711.436,0.00038,195492.6,1.774121,0.6485748,0.0009187848,0.0170846,0.1278354,0.667019,274.6239
7811.978,0.000388,95998.36,1.940059,0.6541276,0.0007660646,0.01428902,0.125692,0.9545942,274.6629
