age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
621.3277,0.000124,525776.0,1.782217,0.4590682,5.930499,0.01665718,0.2510546,0.263588,270.0
1372.918,0.000124,525776.0,1.782217,0.4590682,5.930499,0.01665718,0.2510546,0.263588,270.0933
1495.526,0.000125,520317.7,1.772356,0.4611419,5.877867,0.01684398,0.2488155,0.2658222,270.1086
2227.493,0.000131,556485.9,1.781494,0.4752127,6.146322,0.01667741,0.2343803,0.2624999,270.2043
2870.132,0.00013,591943.4,1.822086,0.4938198,6.38186,0.01594742,0.2171156,0.2612803,270.2876
3606.068,0.000126,649697.9,1.898608,0.5188528,6.763507,0.01469274,0.1967365,0.2583578,270.3801
4171.228,0.000122,700598.1,1.967821,0.5389656,7.088392,0.01368075,0.1823724,0.256145,270.4489
4907.044,0.000118,782510.2,2.063832,0.5602088,7.627762,0.01244139,0.1688564,0.250745,270.5358
12206.9,0.000159,1940247.0,2.551359,0.6309135,14.17597,0.008168596,0.1335829,0.1897326,271.4763
12917.02,0.000169,2058970.0,2.547454,0.630464,15.06849,0.00819723,0.1338317,0.1842479,271.5966
13626.17,0.000181,2176029.0,2.539641,0.6300503,15.9822,0.008251573,0.1340698,0.1793328,271.7249
14139.83,0.000188,2254611.0,2.534706,0.634115,16.62001,0.008286636,0.1324029,0.177365,271.8216
14852.53,0.000199,2372254.0,2.531049,0.6305017,17.58156,0.008314882,0.1339938,0.1722072,271.9637
15560.64,0.000211,2483088.0,2.523954,0.6295438,18.51687,0.008366215,0.1344745,0.1682003,272.1128
16279.36,0.000221,2594850.0,2.521049,0.628504,19.46837,0.008390341,0.1349976,0.1643692,272.2717
16577.42,0.000225,2628955.0,2.518681,0.6332364,19.77077,0.008408167,0.1330196,0.1645115,272.3386
17300.14,0.000325,2624819.0,2.207303,0.6264183,25.13922,0.01095709,0.1360473,0.1621363,272.5737
17997.62,0.000343,2722975.0,2.194807,0.626687,26.2154,0.01109185,0.1360491,0.1593582,272.8131
18727.31,0.000365,2834974.0,2.18049,0.6259838,27.36177,0.01124887,0.1364869,0.1560922,273.0793
19219.6,0.00038,2907312.0,2.169191,0.6303385,28.05112,0.01137408,0.1346989,0.155143,273.2662
19948.42,0.000405,3049887.0,2.157129,0.6270897,29.27619,0.01151398,0.1362444,0.1508492,273.5616
20639.12,0.000431,3192552.0,2.146258,0.6279899,30.32631,0.0116435,0.1360009,0.1475752,273.8594
21234.37,0.000456,3331879.0,2.137316,0.6303417,31.20343,0.01175269,0.1351208,0.1448923,274.1307
21980.24,0.000493,3546563.0,2.127458,0.6276156,32.39807,0.01187766,0.1364789,0.1398368,274.4983
22649.25,0.000528,3763758.0,2.12137,0.6292536,33.34555,0.01196123,0.1359431,0.135927,274.8517
23380.77,0.000574,4054967.0,2.116564,0.6288059,34.43906,0.01203388,0.1363437,0.1306127,275.2718
23874.89,0.000602,4255421.0,2.11808,0.6342121,34.99122,0.01202958,0.1341733,0.1281464,275.5693
24567.13,0.000648,4608006.0,2.124698,0.6319188,36.04032,0.01197414,0.135368,0.1226573,276.0181
25256.25,0.000692,4942358.0,2.131647,0.6309078,36.92964,0.01191665,0.1360357,0.1181128,276.4947
25948.76,0.000728,5257479.0,2.142545,0.630648,37.78559,0.01181715,0.136395,0.1143244,276.9988
