age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
4044.847,8.33e-07,35050440.0,4.38382,1.268983,0.001437124,0.0001103944,0.00131747,0.05092423,10.83746
4148.613,9.07e-07,41205350.0,4.547689,1.307661,0.001783334,0.0001025827,0.001240695,0.04690842,10.83755
4249.75,9.27e-07,45396030.0,4.545528,1.399239,0.001556798,0.000102681,0.001083615,0.04452239,10.83765
4353.818,1.27e-06,51903290.0,3.948656,1.468186,0.001551066,0.0001360709,0.0009842411,0.04138427,10.83778
4455.299,2.11e-06,53977990.0,3.593056,1.510075,0.001365442,0.0001643402,0.0009304107,0.04036796,10.83799
4561.428,2.34e-06,35726010.0,2.939991,1.563034,0.001182535,0.0002454648,0.000868449,0.0494871,10.83824
4666.956,2e-06,25275680.0,2.875774,1.55013,0.001011314,0.0002565546,0.0008829842,0.0585532,10.83845
4767.186,1.33e-06,28702540.0,3.634785,1.426235,0.001286963,0.0001605968,0.001043067,0.05477094,10.83859
4868.775,1.09e-06,34535060.0,4.033783,1.343685,0.001463516,0.0001303986,0.001175177,0.04991305,10.8387
4976.241,1.06e-06,43839840.0,4.414511,1.330052,0.001654043,0.0001088772,0.001199402,0.04442398,10.83881
5083.778,9.79e-07,49626890.0,4.862751,1.443523,0.001393441,8.973088e-05,0.001018259,0.04190049,10.83892
5187.061,1.02e-06,52574310.0,4.460421,1.459212,0.001673358,0.0001066493,0.0009964898,0.0407323,10.83902
5288.277,1.58e-06,59442170.0,3.867061,1.481963,0.00172292,0.0001418906,0.0009661424,0.03825816,10.83918
5389.88,2.46e-06,49582510.0,3.115254,1.521821,0.001515594,0.0002186444,0.0009162169,0.04178438,10.83943
5496.237,2.43e-06,39261050.0,3.099371,1.581518,0.001098366,0.000220896,0.0008483728,0.04682518,10.83969
5604.505,2.15e-06,33490120.0,3.263033,1.503826,0.001402645,0.0001992971,0.000938315,0.05047795,10.83992
5709.764,1.54e-06,38947640.0,3.67227,1.434399,0.001575734,0.0001573551,0.001031359,0.04666874,10.84008
5812.03,1.59e-06,46274670.0,3.814699,1.387153,0.001735912,0.0001458262,0.001102827,0.04277181,10.84025
5913.139,1.56e-06,48454380.0,4.062354,1.441421,0.001708872,0.0001285897,0.001021363,0.04185076,10.8404
6017.017,1.25e-06,51768660.0,4.394669,1.510856,0.001134864,0.0001098788,0.000929652,0.04049456,10.84053
6122.069,1.44e-06,53798860.0,3.921056,1.481868,0.001549653,0.0001380276,0.000966391,0.03967617,10.84069
6225.873,2.16e-06,54321120.0,3.35614,1.484342,0.001541649,0.0001884085,0.0009631915,0.03940789,10.84091
