age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
78.15782,2.99e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
181.0552,0.0,578529.0,1.353736,0.4409361,0.01313363,0.00115728,0.01090825,0.2437244,10.83338
284.8139,2.03e-07,998545.9,1.937567,0.826477,2.233881e-05,0.0005649283,0.003104883,0.1896835,10.8334
390.8261,4.37e-07,2941143.0,1.680024,1.225963,8.18824e-05,0.0007514107,0.001411086,0.113043,10.83345
493.9847,7.54e-07,3216240.0,1.67242,1.48203,0.0001293416,0.0007582635,0.0009655991,0.1106992,10.83353
596.4543,8.65e-07,3663631.0,1.532417,1.405797,0.0002045046,0.0009031496,0.00107317,0.1054446,10.83362
698.713,1.63e-06,4441446.0,0.8218133,1.402029,0.0002798555,0.003140319,0.001078962,0.09784481,10.83378
798.9672,3.43e-06,3551529.0,0.3878934,1.368089,0.0002451881,0.01409642,0.001133195,0.1113301,10.83413
903.956,2.57e-06,4499166.0,0.8133838,1.517656,0.0002146978,0.003205921,0.0009208671,0.1003814,10.8344
1005.381,1.99e-06,6813761.0,1.161829,1.650878,0.0002484606,0.001571328,0.0007782537,0.0830318,10.8346
1107.185,1.99e-06,9372450.0,1.651694,1.642265,0.0003325454,0.000777499,0.0007864523,0.07209639,10.8348
1207.896,1.48e-06,12353810.0,2.260424,1.538811,0.0004927427,0.0004151306,0.0008957654,0.06422803,10.83495
1310.754,1.41e-06,12425530.0,2.287127,1.438643,0.0005450144,0.0004054987,0.001024858,0.06617545,10.8351
1416.828,1.36e-06,11945020.0,2.43039,1.458071,0.0005235811,0.0003591066,0.0009977412,0.06953398,10.83524
1522.628,1.1e-06,11167500.0,2.614683,1.455022,0.0004835082,0.0003102712,0.001001937,0.07380934,10.83536
1622.705,7.49e-07,13866920.0,3.439355,1.323369,0.0007038292,0.0001793196,0.001211212,0.06770632,10.83543
1727.034,5.94e-07,18317860.0,4.035967,1.208155,0.0009078431,0.0001302233,0.001453245,0.06007957,10.83549
1830.451,5.94e-07,23922990.0,4.365434,1.16418,0.0009337501,0.0001113092,0.001565112,0.05371401,10.83556
