age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
984.6025,0.0,-3.405667,-4.721182,-4.721182,0.0,9.485616e-17,9.485616e-17,-2.865996,10.8
1107.227,0.00446,488186.3,1.147779,0.4444741,0.7288215,0.001686137,0.01124388,0.2926729,11.34662
1226.107,0.000206,36711.37,1.459972,0.4592256,0.006859762,0.001044377,0.01055587,1.111131,11.37114
1358.258,2.12e-05,9806.393,1.769192,0.4411747,0.0007644561,0.0007113814,0.01144013,2.2194,11.37394
1476.047,9.59e-06,18143.96,1.682911,0.4359801,0.0007404285,0.0007862719,0.01171552,1.673749,11.37507
1633.23,9.01e-06,18618.57,1.473306,0.4319163,0.0006515375,0.001026035,0.01193848,1.710696,11.37648
1751.072,9.32e-06,17096.95,1.424889,0.4321157,0.0006877586,0.001097052,0.0119286,1.862294,11.37758
1865.774,9.41e-06,17665.8,1.484635,0.4309122,0.0004985809,0.001010627,0.01199645,1.947303,11.37866
1970.977,7.57e-06,13694.5,1.702308,0.4262862,0.0005504455,0.0007687475,0.01225907,2.334283,11.37946
2078.968,8.69e-06,7224.819,1.632098,0.4259591,0.0004576322,0.0008363792,0.01227891,3.416125,11.3804
2197.491,7.27e-06,12828.83,1.570684,0.4245792,0.000436315,0.0009031293,0.01235977,2.689841,11.38126
2327.11,9.22e-06,16035.73,1.56759,0.4273431,0.0004404563,0.0009067921,0.01220167,2.452246,11.38245
2427.883,8.8e-06,6050.856,1.645646,0.4277863,0.0003845697,0.0008228738,0.01217734,4.060023,11.38334
2528.795,7.99e-06,10520.61,1.5301,0.4251529,0.0004271722,0.0009519119,0.01232952,3.096155,11.38414
2658.103,9.21e-06,11671.39,1.421517,0.4319032,0.0004600465,0.001103004,0.01194836,2.976068,11.38534
2758.458,8.12e-06,5794.433,1.852065,0.4348673,0.0004144354,0.0006498293,0.01178687,4.231022,11.38615
2865.794,8.54e-06,5139.297,1.805037,0.4369801,0.0003623039,0.0006841859,0.01167409,4.508924,11.38707
2969.277,1.05e-05,7044.314,1.508259,0.440615,0.0003751908,0.0009800204,0.01148335,3.858708,11.38815
3071.403,1.01e-05,8126.164,1.660121,0.4392853,0.0003666082,0.000808996,0.01155401,3.615125,11.38918
3194.2,1.05e-05,7939.331,1.793576,0.4497711,0.0005633515,0.0006931624,0.0110228,3.773766,11.39048
3318.675,1.35e-05,16051.15,1.496633,0.4481162,0.0006957156,0.0009956521,0.01110598,2.822193,11.39216
3441.822,1.48e-05,13455.11,1.552736,0.4515846,0.0005577784,0.0009251501,0.01093778,3.334481,11.39398
3562.314,1.45e-05,12846.12,1.828229,0.4618601,0.0007395138,0.0006674394,0.01045809,3.596957,11.39572
3678.32,1.52e-05,7417.98,1.912132,0.4722867,0.0005210233,0.0006102442,0.01000295,4.767487,11.39748
3813.333,1.65e-05,22477.78,1.493422,0.4751188,0.0009128261,0.001000596,0.00988597,2.919634,11.39971
3940.254,1.9e-05,12286.96,1.821883,0.4791854,0.0008580972,0.0006724714,0.009720928,3.966162,11.40212
4056.828,1.94e-05,9078.216,1.76037,0.482016,0.000634061,0.0007204319,0.00960899,4.651151,11.40438
4185.78,1.89e-05,13019.7,1.60702,0.4863214,0.0008870399,0.0008646696,0.009441607,3.8338,11.40682
4316.262,2.02e-05,15458.7,1.453946,0.4833273,0.000973508,0.001056564,0.009561142,3.48267,11.40945
4434.519,2.16e-05,11466.82,1.557275,0.4866354,0.0008075731,0.000921209,0.009433691,3.987287,11.412
4564.234,2.42e-05,35323.3,1.251102,0.4876969,0.001289588,0.001427651,0.009395234,2.272436,11.41513
4672.795,2.97e-05,32903.6,1.228736,0.4865355,0.001098372,0.001480513,0.009442792,2.358064,11.41835
4803.4,2.93e-05,17185.54,1.510371,0.4826,0.001281024,0.0009801829,0.009600634,3.261426,11.42218
4934.562,3.06e-05,17924.54,1.54375,0.4808898,0.001315049,0.0009385828,0.009672423,3.201754,11.42619
5060.99,3.11e-05,24068.56,1.438372,0.4814546,0.001279829,0.001081516,0.009653053,2.715303,11.43013
5163.924,3.27e-05,38392.85,1.182223,0.4852638,0.001643159,0.001601415,0.009504888,2.138634,11.4335
5287.887,3.75e-05,22119.81,1.391669,0.4775696,0.001590605,0.001156131,0.009817597,2.761669,11.43814
5417.57,4.05e-05,21928.78,1.443441,0.4805183,0.001711576,0.001075176,0.009701916,2.76391,11.44339
5545.194,3.83e-05,23155.9,1.401827,0.4817597,0.001757531,0.001140443,0.009656092,2.723187,11.44828
5650.182,4.15e-05,78097.56,1.178139,0.4920264,0.002221742,0.001615228,0.009260842,1.479832,11.45264
5771.817,4.57e-05,28612.09,1.13558,0.4775957,0.001606063,0.001739412,0.009833696,2.501422,11.4582
5901.334,4.07e-05,22956.75,1.398771,0.478324,0.001811933,0.001146949,0.009808275,2.797936,11.46348
6033.834,4.18e-05,25349.03,1.307233,0.4772101,0.001957836,0.001313833,0.009858859,2.594074,11.46902
6161.953,4.36e-05,34759.49,1.273703,0.4766562,0.002041755,0.001384587,0.009886582,2.181076,11.4746
6289.809,4.43e-05,53400.4,1.098598,0.4914718,0.002218196,0.001862056,0.009304076,1.68006,11.48027
6422.232,5.17e-05,53297.31,0.9698087,0.4915113,0.002429982,0.002390874,0.009308118,1.650708,11.48711
6523.93,5.18e-05,76256.08,1.015647,0.4793489,0.002273314,0.002180931,0.009790933,1.422784,11.49238
6651.932,5.02e-05,27490.65,1.32734,0.48069,0.002208969,0.001277631,0.009741814,2.35799,11.49881
6770.969,5.19e-05,84996.68,0.9577045,0.4798702,0.002213866,0.002455499,0.009780371,1.360685,11.505
6894.43,5.09e-05,58954.72,1.013708,0.4821487,0.002584666,0.002192872,0.009693427,1.608151,11.51128
7005.635,4.89e-05,25833.02,1.251579,0.475719,0.002082122,0.00143922,0.009961919,2.39372,11.51672
7138.598,5.06e-05,41486.25,1.158783,0.4786114,0.002566184,0.001679937,0.009847615,1.866262,11.52345
7259.603,5.52e-05,63097.53,0.8506546,0.4894831,0.002692041,0.003119191,0.00942048,1.521872,11.53013
7371.034,6.13e-05,29908.37,0.9118928,0.4924375,0.00170928,0.002715923,0.009313285,2.217841,11.53696
7503.441,4.99e-05,28621.86,1.170026,0.4829254,0.002314693,0.001650677,0.009689317,2.357659,11.54357
7612.803,5.26e-05,17506.39,1.141137,0.4854848,0.001385615,0.001736175,0.009592188,3.046569,11.54932
7743.983,5.08e-05,34309.59,0.9949175,0.4874617,0.002520265,0.002285307,0.009520018,2.144212,11.55598
7848.588,5.61e-05,20225.73,1.056334,0.4839918,0.001439086,0.002028318,0.0096619,2.793763,11.56185
7954.82,5.24e-05,33667.73,1.037611,0.4869145,0.002495265,0.002103186,0.00955084,2.188534,11.56741
8065.833,5.29e-05,45362.29,1.013831,0.4839317,0.002687763,0.002204122,0.009673835,1.848735,11.57328
8171.401,6.08e-05,183491.0,1.332762,0.5076369,0.00197085,0.001276152,0.008796316,0.9356321,11.5797
8285.868,5.42e-05,27549.84,0.995535,0.4885264,0.002050253,0.002288371,0.009503059,2.389405,11.58591
8419.938,5.42e-05,27738.65,0.9940978,0.4900494,0.002057723,0.002296429,0.009449993,2.392745,11.59318
8547.864,5.19e-05,26747.65,0.9864722,0.4893749,0.001969421,0.002333401,0.009481471,2.396433,11.59981
8674.831,5.31e-05,70447.65,0.8821267,0.4902528,0.0027144,0.002919773,0.009453025,1.456686,11.60656
8803.881,5.84e-05,96865.13,0.8680441,0.490209,0.002458308,0.003017232,0.00946084,1.229712,11.6141
8916.529,5.89e-05,129371.0,1.17924,0.4951915,0.002770531,0.001635819,0.009276702,1.061634,11.62074
9041.633,5.8e-05,46597.93,0.8665704,0.4857547,0.002637668,0.003031119,0.009646651,1.783555,11.628
9170.47,5.85e-05,127136.7,0.6623778,0.509819,0.002489427,0.005191347,0.008763134,1.135254,11.63554
9291.689,5.68e-05,94603.27,1.010366,0.4849037,0.002928402,0.002232496,0.009692522,1.290079,11.64242
9396.424,5.54e-05,18293.05,0.9019178,0.4868293,0.00134629,0.002803044,0.009620782,2.887301,11.64822
9511.043,5.71e-05,147284.6,0.977311,0.5001467,0.002917375,0.00238859,0.009120369,1.023544,11.65477
9647.452,5.36e-05,70844.59,1.102155,0.484958,0.002433919,0.001879288,0.009706679,1.440538,11.66208
9777.727,4.77e-05,31957.06,0.905262,0.4896969,0.002334649,0.002787155,0.009524782,2.187347,11.66829
9902.622,5.25e-05,40097.31,0.9332519,0.4924784,0.002499966,0.002623949,0.009422775,1.940808,11.67485
10026.35,4.88e-05,25021.11,0.9147037,0.4932511,0.001763824,0.002732853,0.009398122,2.413378,11.68089
10160.15,4.89e-05,30674.93,0.8774093,0.4904785,0.002123992,0.002971771,0.009509986,2.182761,11.68743
10278.52,5.21e-05,21670.17,0.8640075,0.4913644,0.00149267,0.003066289,0.009480707,2.58866,11.6936
10393.75,5.66e-05,141476.5,1.088544,0.5032297,0.002414734,0.001932847,0.009043931,0.9970355,11.70012
10494.88,6.42e-05,49427.03,0.8072215,0.504576,0.002142248,0.003516777,0.009000715,1.68747,11.70661
10624.96,6.06e-05,197504.5,0.5985759,0.5150029,0.003233826,0.006400053,0.008645748,0.8468363,11.71449
10738.92,5.3e-05,28204.11,0.8783642,0.4953109,0.001952331,0.002973691,0.009351672,2.2211,11.72053
10839.35,5.47e-05,29681.26,0.8896508,0.495917,0.002049123,0.002900074,0.009333191,2.154093,11.72602
10973.97,5.12e-05,45911.99,1.055853,0.4910395,0.002410929,0.002060136,0.009525111,1.802496,11.73292
11081.53,5.85e-05,224743.2,0.6158567,0.5182215,0.003326886,0.006058654,0.008556667,0.788112,11.73922
11188.32,6.28e-05,39431.23,0.8797713,0.4980452,0.002288964,0.002970594,0.009269268,1.885015,11.74592
11295.33,4.89e-05,33178.71,0.9008739,0.4909091,0.002375407,0.002834312,0.009544945,2.030054,11.75115
11403.91,5.6e-05,162168.5,0.7957906,0.5093841,0.002940316,0.003634145,0.008869702,0.9491873,11.75723
11540.82,5.06e-05,55490.45,0.7012168,0.4915975,0.002576905,0.004683284,0.009528744,1.608514,11.76416
11658.81,4.53e-05,26614.68,0.854121,0.4937355,0.001827487,0.003158006,0.009450679,2.369867,11.7695
11763.59,4.51e-05,27396.92,0.9180743,0.491536,0.001858631,0.00273445,0.009539266,2.301668,11.77423
