age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
171.377,0.0109,436977.8,2.633044,0.3388503,1.583976,0.004205843,0.2539531,0.3204617,270.0
171.377,0.0109,436977.8,2.633044,0.3388503,1.583976,0.004205843,0.2539531,0.3204617,271.188
272.9161,6.26e-05,3963.993,3.241406,0.3531878,3.648229e-05,0.002775315,0.2337587,3.68267,271.1943
373.2979,1.16e-05,13744.01,2.601044,0.3581063,5.321838e-05,0.004310079,0.2273823,2.059066,271.1955
474.5968,1.54e-05,10359.47,2.838598,0.3647175,4.904288e-05,0.003618889,0.2192147,2.371102,271.1971
576.9595,1.84e-05,18238.94,2.540219,0.3674653,6.752894e-05,0.004519011,0.2159499,1.800026,271.1989
677.5654,2.21e-05,22033.63,2.435843,0.3744722,6.042485e-05,0.004914626,0.2079456,1.640401,271.2012
779.86,2.44e-05,6671.896,3.078533,0.3761815,7.918417e-05,0.003076841,0.2060619,2.961232,271.2037
880.4472,2.69e-05,9673.467,2.864965,0.3825845,9.521067e-05,0.003552695,0.1992241,2.491934,271.2064
980.8222,2.95e-05,17876.98,2.300747,0.3910475,7.728406e-05,0.005508883,0.1906963,1.89814,271.2093
1082.335,3.16e-05,7868.424,2.959496,0.3928724,9.007553e-05,0.003329434,0.1889309,2.924246,271.2125
1184.293,3.46e-05,15162.65,2.877499,0.3968697,0.0001147102,0.003521931,0.1851464,2.11762,271.2161
1286.481,3.58e-05,16360.51,2.51798,0.4035377,0.0001214849,0.004599519,0.1790806,2.06603,271.2197
1387.576,3.82e-05,17506.07,3.103806,0.4081288,0.000123238,0.003027147,0.1750766,2.011686,271.2236
1488.671,3.87e-05,11929.54,2.648118,0.416897,0.000111975,0.004158667,0.1677919,2.478181,271.2275
1590.191,4.13e-05,10237.88,3.080653,0.4198175,0.0001177429,0.003072908,0.165468,2.701764,271.2317
1690.297,4.3e-05,32416.43,2.197647,0.4272811,0.0001480069,0.006038452,0.1597403,1.515008,271.236
1792.795,4.44e-05,56411.59,2.464673,0.4386075,0.0001688981,0.004800982,0.1515991,1.166214,271.2406
1893.82,4.6e-05,14079.64,2.706699,0.4405653,0.0001385321,0.00398085,0.1502572,2.389785,271.2452
1995.989,4.77e-05,18874.48,2.448504,0.4491087,0.0001400457,0.004864762,0.1445974,2.100414,271.2501
2097.806,5.1e-05,12972.46,2.829352,0.4538848,0.0001330388,0.003643321,0.1415729,2.552542,271.2553
2198.181,5.29e-05,15220.35,2.800196,0.4612552,0.0001552977,0.003719654,0.1370872,2.346053,271.2606
2298.733,5.36e-05,18169.22,2.923079,0.4669574,0.0001630995,0.003413555,0.1337622,2.190498,271.266
2399.083,5.63e-05,6604.703,2.93555,0.4764683,6.527808e-05,0.00338468,0.1284779,3.734763,271.2716
2500.577,5.99e-05,15602.89,3.068682,0.481893,0.0001523589,0.003097435,0.1256044,2.477708,271.2777
2602.296,6.23e-05,20075.63,3.195965,0.4883183,0.0001874944,0.002855695,0.1223235,2.207409,271.284
2704.265,6.65e-05,20923.63,3.359282,0.4943223,0.0001925825,0.00258484,0.119373,2.1618,271.2908
2805.464,6.98e-05,22922.01,3.486835,0.5008921,0.0002073755,0.002399245,0.116265,2.073729,271.2979
2907.649,7.29e-05,67626.67,3.133249,0.5137703,0.0002586699,0.002971387,0.1105124,1.227383,271.3053
3009.14,8.02e-05,26450.16,4.268953,0.5096502,0.0002477227,0.001600734,0.1123097,1.951696,271.3135
3109.619,8.52e-05,36750.14,4.741022,0.5109282,0.0002623845,0.00129787,0.111752,1.673125,271.322
3210.203,9.03e-05,54018.0,4.325538,0.5165356,0.00026056,0.001559227,0.1093425,1.379863,271.3311
3312.33,9.64e-05,37176.9,4.693021,0.5260003,0.0003045674,0.001324646,0.1054467,1.688011,271.341
3414.163,0.000103,38364.06,4.960334,0.5272473,0.0003301667,0.001185767,0.1049524,1.678063,271.3514
3515.005,0.000113,36505.24,5.305984,0.5284558,0.0003271555,0.001036352,0.1044773,1.729921,271.3628
3615.918,0.000121,41638.32,5.453926,0.5323704,0.0003761581,0.0009809348,0.102951,1.640734,271.375
3717.259,0.000126,88077.21,4.881884,0.5407294,0.0004888082,0.001224345,0.09979731,1.121147,271.3878
3818.435,0.000135,335197.6,3.906633,0.5794494,0.0004851349,0.001912032,0.0869099,0.5843922,271.4015
3920.099,0.000142,112826.6,4.976197,0.5600407,0.0003873019,0.001178496,0.09304305,0.985139,271.4159
4021.437,0.000159,236182.0,4.028484,0.5764704,0.0004516418,0.001798313,0.08782022,0.6883541,271.432
4122.154,0.000164,61978.82,5.490331,0.5458268,0.0004934374,0.000968228,0.09796364,1.339668,271.4486
4222.827,0.000171,66441.37,5.061379,0.5519452,0.0004227468,0.001139368,0.09580979,1.308455,271.4657
4323.557,0.000183,1806359.0,1.770899,0.6232236,0.0006244044,0.009307724,0.07515249,0.2483939,271.4842
4424.276,0.000184,79597.04,4.656659,0.5748572,0.0005310232,0.001346206,0.08833655,1.190509,271.5027
4526.189,0.000208,83659.83,4.946996,0.5845819,0.0005622841,0.001192919,0.0854286,1.19501,271.5239
4627.715,0.000218,400313.9,3.815271,0.6576309,0.0007722607,0.002005758,0.06750948,0.5494176,271.5461
4728.259,0.00022,84478.35,4.46208,0.6073889,0.0004552645,0.001466526,0.0791463,1.191243,271.5683
4829.523,0.000225,176039.1,3.984284,0.6010797,0.0007564265,0.001839501,0.08082326,0.827535,271.591
4931.222,0.000231,160147.1,3.693527,0.6237571,0.0007444288,0.002140696,0.07505967,0.8818843,271.6145
5031.529,0.000258,129090.7,3.723898,0.6415662,0.0006707105,0.00210612,0.07095708,1.001187,271.6403
5131.688,0.000271,9882239.0,4.187586,0.8334718,0.001249767,0.001665691,0.04204749,0.1212837,271.6675
5233.68,0.000262,168602.7,3.875613,0.6459268,0.0007942493,0.001944839,0.07001605,0.9271947,271.6942
5335.396,0.00027,205355.4,3.433173,0.6539892,0.0007800541,0.002478658,0.06830725,0.8339529,271.7217
5436.888,0.000287,159164.5,3.379798,0.6646904,0.0008057925,0.002557836,0.06613258,0.9359133,271.7509
5538.141,0.000298,167438.9,3.275137,0.6805424,0.0008643077,0.002724227,0.06309455,0.9318025,271.7811
5638.717,0.000309,229144.9,2.893145,0.7203564,0.000977545,0.003491492,0.05631923,0.8120659,271.8121
5738.994,0.000308,187828.5,2.94803,0.6931154,0.0008939707,0.003363077,0.06084003,0.8940072,271.843
5840.809,0.000302,1133160.0,1.291324,0.7567889,0.001162574,0.01752988,0.05103873,0.3665492,271.8737
5942.523,0.00034,178833.0,2.700683,0.7036683,0.0008899725,0.004008271,0.05904298,0.9151436,271.9083
6042.844,0.000333,239920.1,2.853188,0.7053069,0.001039094,0.003591669,0.05877612,0.7944695,271.9416
6143.106,0.000346,154136.8,2.680681,0.7143866,0.0006820896,0.004069321,0.05729883,0.9803085,271.9764
6244.339,0.000344,1073790.0,1.902871,0.7949314,0.001365892,0.008076978,0.04628159,0.3652188,272.0111
6346.271,0.000361,700099.4,2.382293,0.7741584,0.001146182,0.005153895,0.04880524,0.4726065,272.048
6447.392,0.000375,244125.8,2.319092,0.7374715,0.001020758,0.00543939,0.05378927,0.83306,272.0858
6548.565,0.000387,183869.7,1.897267,0.734374,0.0007430272,0.008128147,0.05425176,0.9211317,272.125
6651.207,0.000384,5243404.0,4.48618,0.7637243,0.001647385,0.001453977,0.05016927,0.1708198,272.1644
6751.306,0.000386,2748311.0,1.621888,0.8257417,0.001284694,0.01112579,0.0429224,0.237277,272.2031
6852.762,0.000389,254135.8,1.903819,0.7420788,0.0009421136,0.008075767,0.05315388,0.7824618,272.2425
6954.506,0.000407,4285443.0,5.001765,0.7277457,0.001609258,0.001170184,0.05527661,0.1906388,272.2839
7054.929,0.000423,348001.2,1.382648,0.7280251,0.001283359,0.01531598,0.05524277,0.6745352,272.3264
7156.159,0.000425,247451.5,2.296414,0.7497909,0.0009187734,0.005553106,0.05209022,0.7784014,272.3694
7258.446,0.000431,1999851.0,2.141099,0.788886,0.001451237,0.006389003,0.04706283,0.2698049,272.4135
7360.717,0.00041,284892.5,2.429584,0.7539962,0.001108764,0.0049626,0.05152698,0.7324387,272.4554
7461.51,0.000449,323384.5,2.417161,0.7356961,0.001315276,0.005014571,0.05413123,0.6981881,272.5007
7563.522,0.00046,483017.2,1.859666,0.7417652,0.001418547,0.008473242,0.05325819,0.569491,272.5476
7665.248,0.00045,302028.3,2.485202,0.7371027,0.001209015,0.004745351,0.0539431,0.7079098,272.5933
7766.235,0.000444,382688.8,1.922903,0.7568172,0.001408529,0.007927722,0.05117773,0.6199163,272.6381
7867.121,0.000426,1256236.0,4.077385,0.7811651,0.00137127,0.001763469,0.0480447,0.3423025,272.6811
7968.399,0.000477,285344.7,2.700792,0.7665029,0.001023211,0.004019995,0.04990915,0.7239476,272.7294
8069.898,0.000476,402204.8,2.577503,0.7536073,0.001496807,0.004414545,0.05164094,0.612575,272.7777
8170.388,0.000447,325042.4,2.509761,0.7492988,0.00130241,0.004656835,0.05224509,0.6895633,272.8226
8270.657,0.000446,2096923.0,4.877944,0.7193068,0.00155811,0.00123297,0.05670196,0.2705673,272.8673
8372.416,0.00047,2421842.0,5.271015,0.718374,0.001370826,0.001056121,0.05685923,0.2567623,272.9151
8474.104,0.000485,933022.3,3.995422,0.7450735,0.001722163,0.001838464,0.0528667,0.4038749,272.9645
8574.969,0.000479,548169.6,3.621124,0.7908805,0.001393891,0.002238567,0.04692834,0.5319948,273.0128
8677.248,0.000463,354049.8,3.61116,0.7599846,0.001341928,0.002251327,0.05083027,0.6605798,273.0602
8778.447,0.000463,2384070.0,3.717328,0.7985366,0.001660668,0.002124929,0.04604862,0.2601752,273.1071
8878.918,0.000479,281581.4,4.2048,0.7641427,0.001034925,0.001661084,0.05029601,0.7453282,273.1551
8979.357,0.000478,3442683.0,5.387997,0.753635,0.001299512,0.001011821,0.05171735,0.2162907,273.2031
9081.878,0.000472,523966.2,4.481407,0.8005912,0.001548953,0.001462872,0.0458367,0.5375704,273.2515
9182.863,0.000469,421671.3,4.714,0.782854,0.00145159,0.001322302,0.04794555,0.6067189,273.2988
9284.572,0.000476,587561.4,5.400945,0.7664784,0.001139289,0.001007505,0.05002495,0.5193768,273.3472
9385.83,0.000481,3179861.0,6.183029,0.7451859,0.001611072,0.0007688844,0.05293394,0.2249474,273.3959
9486.453,0.000493,2447211.0,5.574056,0.8151959,0.001096127,0.0009462357,0.0442403,0.2552929,273.4455
9587.722,0.000462,819852.9,5.161451,0.8503793,0.001655171,0.001103754,0.04066218,0.436642,273.4923
9688.086,0.000466,544520.7,5.50969,0.7993975,0.001399562,0.0009688035,0.0460219,0.5449567,273.5391
9789.913,0.000472,5754166.0,7.09443,0.8485414,0.002230901,0.0005844279,0.04085261,0.1665731,273.5871
9890.628,0.000493,2521903.0,7.349312,0.7546921,0.001878524,0.0005446921,0.0516541,0.252344,273.6367
9992.074,0.000472,2036243.0,7.132176,0.7797844,0.001857099,0.0005784635,0.04839171,0.2862671,273.6846
10093.33,0.000453,451681.4,5.758633,0.8070664,0.00132687,0.0008874702,0.0451829,0.6069311,273.7305
10193.93,0.00048,488748.5,5.839147,0.8174395,0.001163332,0.0008633168,0.0440512,0.6140468,273.7788
10294.71,0.00045,519720.6,6.214816,0.8071772,0.001353911,0.0007622267,0.0451859,0.5929204,273.8242
10396.58,0.000476,403365.2,6.260696,0.7892383,0.001221023,0.0007512283,0.04727166,0.6803716,273.8726
10496.82,0.000485,473607.5,6.564306,0.7902113,0.001229059,0.0006834653,0.04716367,0.6378954,273.9213
10597.04,0.000467,437658.3,6.500941,0.7968095,0.001277729,0.0006969721,0.04639369,0.6400379,273.9681
10697.48,0.000464,544214.6,6.971951,0.7745377,0.001473476,0.0006060839,0.04910846,0.5653876,274.0146
10797.6,0.00045,1456092.0,7.727419,0.85114,0.0013511,0.0004934505,0.04067341,0.3680326,274.0597
10899.26,0.000504,1704025.0,6.577536,0.8582431,0.001688676,0.000681188,0.0400104,0.3278386,274.111
11000.08,0.000484,334800.3,6.896096,0.7786708,0.0009703951,0.0006198175,0.04861415,0.7446045,274.1598
11100.36,0.000444,520331.3,7.268453,0.7645455,0.001462221,0.0005580291,0.05043525,0.5969635,274.2043
11202.8,0.000445,5053157.0,8.907402,0.775789,0.002044104,0.0003716299,0.04899204,0.1955435,274.2499
11304.8,0.000479,2789496.0,8.844765,0.7207657,0.001672343,0.000376979,0.05676772,0.2608998,274.2987
11405.84,0.000467,962591.3,7.856435,0.7549513,0.001510939,0.0004778735,0.05175188,0.4395475,274.3459
11505.96,0.000466,755614.5,7.621311,0.8004493,0.001572188,0.0005079,0.04604367,0.4973557,274.3925
