age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
320.4672,0.0,837694.2,0.5922114,0.3605868,0.3773697,0.003319141,0.008952816,0.2239869,10.83396
443.943,9.28e-07,827502.7,0.9640588,0.3707855,0.0007302399,0.001252496,0.008467165,0.2313724,10.83407
548.8344,9.02e-07,910453.9,0.8108632,0.389828,0.00119747,0.001770483,0.007660212,0.2302951,10.83417
684.4392,2.19e-06,975146.6,0.632702,0.4414507,0.0008608451,0.002908038,0.005973572,0.2535258,10.83446
790.0892,1.59e-06,1091425.0,0.7634295,0.4880318,0.0009595755,0.001997409,0.004887747,0.26541,10.83463
896.8433,1.24e-06,1385755.0,0.8886748,0.5387109,0.001178554,0.00147409,0.004011422,0.2563332,10.83476
1009.481,1.13e-06,1924992.0,1.03073,0.5828725,0.001478963,0.001095783,0.003426633,0.2278368,10.83489
1126.033,2.21e-06,2589191.0,0.7398704,0.616028,0.001547676,0.002126735,0.003067777,0.2075264,10.83515
1236.857,1.97e-06,2851180.0,0.9845735,0.6169614,0.002176382,0.001200983,0.00305856,0.1969336,10.83537
1353.299,4.54e-06,2856150.0,0.5534647,0.6123997,0.003443088,0.003800792,0.003104445,0.2000348,10.8359
1459.45,4.17e-06,2893579.0,0.6716512,0.6138647,0.003587653,0.002580975,0.003089769,0.2020707,10.83634
1563.855,6.05e-06,2886332.0,0.4109309,0.6067226,0.004285436,0.006895389,0.003163123,0.201288,10.83697
1668.01,6.97e-06,2761462.0,0.3959507,0.6083426,0.004136579,0.007427504,0.003146506,0.2073419,10.8377
1770.019,5.12e-06,2942674.0,0.5792215,0.6227155,0.002573225,0.003471014,0.003003077,0.2061467,10.83822
1879.496,7.93e-06,2955174.0,0.2011749,0.6423365,0.002600994,0.02877615,0.002822637,0.2124539,10.83909
1983.797,5.43e-06,2990507.0,0.6940502,0.6539436,0.00263678,0.002417803,0.002723466,0.2148716,10.83965
2102.958,2.67e-06,3610367.0,0.7988216,0.6412729,0.003939527,0.001825221,0.002832235,0.1906552,10.83997
2207.223,6.34e-06,3742875.0,0.5232385,0.6304904,0.004882908,0.004254435,0.002930112,0.1843993,10.84063
2336.004,6.45e-06,3892910.0,0.361794,0.6296315,0.004280753,0.008899208,0.002938334,0.180787,10.84146
2457.464,1.06e-05,3494344.0,0.2162325,0.6362086,0.003817397,0.02491629,0.002878235,0.1923521,10.84275
2560.256,9.49e-06,3395190.0,0.3270093,0.6628662,0.00218804,0.01089542,0.002651627,0.2022022,10.84373
2672.014,7.88e-06,3645129.0,0.2202216,0.7106589,0.001606669,0.02402589,0.002307155,0.2112271,10.84461
2795.996,6.34e-06,4357558.0,0.5138634,0.7079544,0.002882651,0.004413009,0.002324983,0.1886231,10.8454
2919.365,5.41e-06,5563576.0,0.7310661,0.6806232,0.004715198,0.002180436,0.002515609,0.1611266,10.84606
3021.12,5.25e-06,6289421.0,0.8154669,0.6651837,0.005357807,0.001752528,0.002633871,0.1497016,10.8466
3126.899,6.18e-06,6447775.0,0.6120613,0.644323,0.006786351,0.003111098,0.002807348,0.142553,10.84725
3245.983,1.02e-05,6019044.0,0.426252,0.6315933,0.007664575,0.006415333,0.002921978,0.1450083,10.84847
3372.611,7.73e-06,6006662.0,0.7766542,0.6319861,0.005044362,0.001932571,0.002918608,0.1450783,10.84945
3500.722,1.15e-05,6189413.0,0.30581,0.643902,0.005256654,0.01246654,0.002811965,0.1462632,10.85093
3611.552,1.48e-05,5555211.0,0.3833292,0.6469708,0.006056932,0.007935442,0.002785772,0.1548436,10.85257
3717.755,1.27e-05,5204922.0,0.4004381,0.6391815,0.006858966,0.007272736,0.002854436,0.1585529,10.85392
3832.648,1.57e-05,5114174.0,0.4370601,0.627108,0.006758555,0.006106017,0.002965894,0.1573461,10.85572
3955.19,1.76e-05,4782466.0,0.195522,0.6269957,0.00630544,0.03051653,0.002967545,0.1620065,10.85788
4055.773,1.4e-05,4475992.0,0.2326842,0.63966,0.004823629,0.02155008,0.00285157,0.1692206,10.85929
4174.959,1.16e-05,4583706.0,0.3206056,0.6733382,0.002895611,0.0113526,0.002573777,0.1752073,10.86067
4274.962,1.03e-05,4909246.0,0.3762814,0.6693938,0.004165821,0.008242386,0.002604444,0.1662601,10.8617
4388.362,1.08e-05,5640165.0,0.4695552,0.6889836,0.003652969,0.005293629,0.00245872,0.1620863,10.86292
4509.59,1.53e-05,5690145.0,0.1575801,0.6769431,0.004846923,0.04701079,0.002547395,0.1587634,10.86478
4634.989,1.51e-05,5427817.0,0.2550285,0.6751373,0.004658344,0.01795141,0.002561484,0.1635345,10.86667
4762.784,1.1e-05,5648578.0,0.5376129,0.6610046,0.006121734,0.004040104,0.002672532,0.1550889,10.86808
4888.603,5.53e-06,7242771.0,0.8278326,0.6637865,0.005790426,0.001704018,0.002650345,0.1360209,10.86878
5009.106,7.23e-06,9404728.0,0.7811892,0.6685943,0.00546413,0.001913733,0.002612573,0.1207648,10.86965
5112.184,1.18e-05,9375136.0,0.6257143,0.6469281,0.009074582,0.00298325,0.002790808,0.1172658,10.87086
5231.606,1.28e-05,8806819.0,0.6223683,0.6312574,0.01055206,0.003015837,0.0029315,0.1189724,10.87239
5335.354,1.69e-05,8190633.0,0.6140518,0.620951,0.01034463,0.003098579,0.003030107,0.1225802,10.87415
5452.292,1.27e-05,7648297.0,0.5909792,0.6123235,0.009962954,0.003345702,0.003116519,0.1255425,10.87564
5570.876,1.41e-05,7341887.0,0.5449247,0.6166777,0.007948314,0.003935728,0.003073134,0.1287208,10.87731
5676.232,1.56e-05,7467882.0,0.3945338,0.6278814,0.006446105,0.007509219,0.002964886,0.1290246,10.87895
