age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
320.4672,0.0,656682.1,0.3766144,0.3600818,18.97421,0.01898666,0.02077017,0.2529809,25.06399
468.7539,0.000622,56664.34,0.5462927,0.3618218,0.02593935,0.009057059,0.0206466,0.8745978,25.15628
579.0364,8.88e-05,36727.68,0.5759362,0.3617413,0.003862029,0.008151886,0.02066382,1.122471,25.16607
682.7645,3.16e-05,43042.49,0.6848092,0.3544837,0.002838407,0.005766654,0.0215214,1.069481,25.16935
832.1785,2.51e-05,23268.49,0.7717487,0.3519402,0.00241153,0.004541252,0.02183683,1.550737,25.1731
940.5443,3.14e-05,27805.7,0.690887,0.3510068,0.002411287,0.00566724,0.02195607,1.484546,25.1765
1087.11,2.11e-05,11629.8,0.8109253,0.3473102,0.001878421,0.004114119,0.02242867,2.442568,25.17959
1195.03,2.78e-05,45846.11,0.7311698,0.3498527,0.002388671,0.005061199,0.02210648,1.393403,25.18259
1337.666,2.76e-05,8624.331,0.8828168,0.3466689,0.001359148,0.003472292,0.02251789,3.599088,25.18653
1443.61,2.26e-05,24928.31,0.6105467,0.3435453,0.001834941,0.0072604,0.02293139,2.399806,25.18892
1579.944,2.42e-05,13147.7,0.7796861,0.3454976,0.00134326,0.004452615,0.02267591,3.78189,25.19221
1718.025,2.24e-05,27294.13,0.8346977,0.3415878,0.00137895,0.00388552,0.0232008,2.738309,25.19531
1850.851,2e-05,6978.618,0.8142567,0.3425512,0.001093282,0.004083478,0.02307288,5.480716,25.19796
1973.148,2.19e-05,23889.77,0.6894149,0.339004,0.00146866,0.005696884,0.02356076,3.030282,25.20064
2097.291,2.16e-05,26766.83,0.8693171,0.3414581,0.001426565,0.003583341,0.02322575,2.905303,25.20332
2207.223,2.56e-05,22880.14,0.4220806,0.3352548,0.0010652,0.01520204,0.02409588,3.1339,25.20613
2341.394,2.3e-05,6437.519,0.7883947,0.3393744,0.001012436,0.004357709,0.02351729,5.836857,25.20922
2460.546,2.41e-05,5641.122,0.8201014,0.3394324,0.0007611684,0.004027723,0.02351192,6.399892,25.2121
2599.839,2.08e-05,7490.897,0.9183798,0.3388379,0.001139755,0.003212178,0.02359718,5.46872,25.21499
2700.247,2.53e-05,26614.47,0.5097878,0.3345162,0.001869478,0.01042579,0.02421326,3.036124,25.21753
2841.269,2.43e-05,26376.11,0.5922045,0.3337811,0.00187357,0.007726854,0.02432331,2.703601,25.22095
2981.903,2.23e-05,26919.09,0.9349894,0.3364581,0.001580604,0.003100177,0.02394076,2.635904,25.22409
3094.965,2.06e-05,11512.1,0.7298029,0.3352414,0.001392309,0.005088953,0.02411706,4.320777,25.22643
3227.58,2.42e-05,12268.14,0.7977933,0.3354183,0.001484875,0.004259059,0.02409468,4.196029,25.22964
3362.927,2.63e-05,16153.94,0.7288164,0.3317745,0.001620416,0.005104099,0.02463028,3.722277,25.23319
3489.116,3.08e-05,25570.07,0.5494241,0.3297098,0.002127781,0.008982694,0.02494355,2.940707,25.23709
3620.706,3.13e-05,19519.59,0.6818809,0.3299454,0.00184672,0.005832777,0.02491199,4.096602,25.2412
