age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
320.4672,0.0,1.968344,62317.55,56753.5,0.0,2.997317e-3,3.613834e-3,5476918.0,10.83333
579.0364,0.0,1.968344,62317.55,56753.5,0.0,2.997317e-3,3.613834e-3,5476918.0,10.83333
863.0479,0.0,1.968344,0.5876829,0.5925784,0.0,0.003370285,0.003314828,52.36215,10.83333
1126.033,0.0,661094.9,0.3785846,0.3606909,18.98066,0.008121309,0.008947082,0.2524279,10.83333
1226.279,1.51e-07,60608.65,0.1353755,0.4331082,1.711183e-07,0.06351436,0.00620525,3.228788,10.83335
1326.415,2.98e-07,133448.6,0.8512693,0.4976016,3.010305e-07,0.001606272,0.004700993,2.460221,10.83338
1426.451,4.62e-07,49175.9,1.121287,0.5388867,3.290358e-07,0.0009258089,0.004008295,4.214767,10.83342
1526.927,6.31e-07,60461.77,0.9827093,0.5747725,4.395806e-07,0.001205332,0.003523424,4.066452,10.83349
1627.401,7.96e-07,194550.8,0.7646371,0.6166914,6.21193e-07,0.001990898,0.003060723,2.347755,10.83357
1635.497,1.1e-06,12624.9,1.233506,0.3621434,4.608611e-06,0.0007650525,0.008875904,6.513609,10.83392
1737.907,1.28e-06,15480.75,1.327445,0.370091,5.818205e-06,0.0006606103,0.00849888,5.163797,10.83405
1839.943,1.42e-06,53447.52,0.5901464,0.3770383,7.981614e-06,0.003342448,0.008188669,2.920787,10.83419
1943.432,1.64e-06,57728.52,0.9101833,0.3869759,1.03709e-05,0.001405183,0.007773611,3.033834,10.83436
2046.743,1.76e-06,17386.41,1.197769,0.3949224,7.188781e-06,0.0008114309,0.007464044,6.100999,10.83455
2148.073,1.99e-06,50200.89,1.174996,0.4029533,8.405926e-06,0.0008432039,0.00716962,3.479121,10.83475
2248.477,2.11e-06,73752.11,0.7826054,0.4117701,1.081627e-05,0.001900763,0.006866004,2.578342,10.83496
2348.744,2.2e-06,54305.36,0.6600554,0.4190842,1.173366e-05,0.002672154,0.006628568,3.427116,10.83518
2448.95,2.39e-06,113044.0,0.3825384,0.428244,1.299459e-05,0.007955754,0.006348176,2.289253,10.83542
2550.031,2.52e-06,131798.4,0.4393194,0.4368546,1.350605e-05,0.00603227,0.00610053,2.150732,10.83567
2651.302,2.71e-06,21915.14,1.012901,0.4368982,9.280879e-06,0.001134797,0.006099464,5.197015,10.83595
2753.036,2.74e-06,31255.53,0.8113938,0.4442351,1.203632e-05,0.001768478,0.0058998,4.698557,10.83623
