age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
320.4672,0.0,837694.2,0.5922114,0.3605868,0.3773697,0.003319141,0.008952816,0.2239869,10.83396
468.7539,1.58e-06,841361.0,0.7137821,0.3612866,0.04718698,0.002284846,0.008918352,0.2240168,10.83419
579.0364,1.78e-06,850649.8,0.6813472,0.3623492,0.03614006,0.002507603,0.008866276,0.2236921,10.83439
754.0837,2.06e-06,855850.3,0.6346897,0.3636395,0.04855789,0.002889926,0.008803749,0.2237692,10.83475
863.0478,2.1e-06,857218.3,0.6349145,0.3645767,0.04863395,0.002887939,0.008758722,0.2241155,10.83498
1013.284,2.07e-06,865238.2,0.6416324,0.3662093,0.04906039,0.002827861,0.008681042,0.2239934,10.83529
1126.033,2.01e-06,870213.0,0.650856,0.3675029,0.04932199,0.002748334,0.008620206,0.2240785,10.83551
1276.059,2.2e-06,884165.2,0.6280184,0.3686479,0.0626264,0.002951939,0.008566998,0.2228023,10.83585
1384.128,2.15e-06,891118.4,0.6360542,0.3699967,0.0630727,0.002877881,0.008504826,0.2226861,10.83608
1534.037,2.4e-06,908829.0,0.6104469,0.3714646,0.07717101,0.003124492,0.008438014,0.2213319,10.83644
1641.621,2.39e-06,918003.1,0.6131049,0.3728579,0.07787724,0.003097529,0.008375261,0.2210313,10.83669
1817.972,2.39e-06,937533.6,0.6178009,0.3752497,0.07937653,0.003050734,0.008269147,0.220068,10.83712
1923.232,2.39e-06,947918.6,0.6203525,0.3767437,0.08014702,0.003025758,0.008203876,0.219679,10.83737
2073.44,2.36e-06,972194.4,0.6286039,0.3797924,0.06845467,0.002946937,0.008072952,0.2186728,10.83772
2177.16,2.38e-06,983824.2,0.6291367,0.3815003,0.06916001,0.002942012,0.00800101,0.2183021,10.83797
2357.922,3e-06,1011104.0,0.5588112,0.3837668,0.08510954,0.003729285,0.007907169,0.2164271,10.83851
2460.546,3.03e-06,1033221.0,0.570834,0.386993,0.0725868,0.003573949,0.007776099,0.2161312,10.83882
2611.936,3.16e-06,1057390.0,0.5641807,0.3897112,0.07396068,0.003658898,0.007668333,0.2149883,10.8393
2713.706,3.23e-06,1070366.0,0.5601497,0.3916625,0.07460926,0.003711858,0.007592339,0.214594,10.83963
2891.121,3.33e-06,1101181.0,0.5553984,0.3950894,0.07614712,0.003775838,0.007461598,0.2130202,10.84022
2992.052,4.88e-06,1135202.0,0.4580318,0.398869,0.06309517,0.005552019,0.007321187,0.2119785,10.84072
3145.145,4.73e-06,1163179.0,0.470334,0.4022695,0.06423755,0.005265722,0.00719841,0.2108696,10.84144
3245.983,4.57e-06,1174987.0,0.480369,0.4046247,0.06460216,0.005048228,0.00711515,0.2107543,10.8419
3394.132,4.38e-06,1204418.0,0.4974038,0.4081069,0.06565622,0.004708649,0.006994658,0.209456,10.84255
3547.264,4.11e-06,1237582.0,0.5185901,0.4117431,0.06676336,0.004332023,0.006872053,0.2078557,10.84318
3800.478,5.04e-06,1328208.0,0.4859984,0.4202679,0.05408572,0.004933099,0.006596856,0.2041773,10.84445
3923.359,4.43e-06,1339655.0,0.5163902,0.4235742,0.05434565,0.004369734,0.006494594,0.2045433,10.845
4076.815,5.3e-06,1381453.0,0.4667747,0.4245069,0.0747316,0.005348457,0.006466563,0.2016426,10.84581
4328.77,4.96e-06,1444259.0,0.4989889,0.429773,0.07763919,0.004680698,0.006309779,0.1994905,10.84706
4451.27,4.72e-06,1461795.0,0.5127315,0.4321724,0.07843343,0.004433382,0.006240237,0.1993041,10.84764
4605.673,4.57e-06,1513240.0,0.52778,0.4346461,0.08077615,0.004184438,0.006169804,0.1968607,10.84835
4858.178,5.1e-06,1580969.0,0.4832707,0.4382027,0.08500626,0.004991291,0.00607077,0.1944996,10.84963
4978.072,5.45e-06,1589275.0,0.4876533,0.4396524,0.08575044,0.00490227,0.006031157,0.1949204,10.85029
5133.193,5.45e-06,1632355.0,0.4928604,0.4411565,0.08827825,0.004799601,0.005990561,0.1933306,10.85113
5386.896,5.41e-06,1677173.0,0.5010666,0.4433984,0.09103732,0.004644256,0.005930877,0.1921029,10.8525
5504.143,5.37e-06,1682199.0,0.5049083,0.4443967,0.091463,0.004574112,0.005904598,0.1923834,10.85313
5693.853,5.35e-06,1728399.0,0.5109275,0.4456497,0.09396026,0.004467385,0.005871982,0.1904605,10.85415
5794.428,5.31e-06,1738226.0,0.5146038,0.4463077,0.09450404,0.004403997,0.005854965,0.1902378,10.85468
5950.418,5.29e-06,1769324.0,0.5207067,0.446989,0.09601354,0.004301692,0.005837567,0.1888633,10.85551
6072.601,6.85e-06,1759919.0,0.3974333,0.4483667,0.09489659,0.007384654,0.005802191,0.1902789,10.85634
6229.115,7.85e-06,1796580.0,0.4053991,0.4487223,0.0968687,0.007098095,0.005793648,0.1886596,10.85757
6484.092,7.5e-06,1825717.0,0.4270403,0.4497493,0.0983166,0.006398018,0.005768223,0.1876883,10.85948
6598.861,7.14e-06,1820256.0,0.439562,0.4503898,0.09797615,0.006039141,0.005752258,0.1882173,10.8603
6756.312,8.4e-06,1894680.0,0.3979112,0.4516838,0.07561597,0.007370477,0.005720039,0.1845156,10.86163
7009.805,7.71e-06,1939615.0,0.4354166,0.4543871,0.07768163,0.006156521,0.005653187,0.1836149,10.86358
7129.172,7.27e-06,1917694.0,0.4236771,0.4521298,0.1034663,0.006502941,0.005710228,0.1833875,10.86445
7287.4,7.41e-06,1974963.0,0.4470489,0.4531669,0.1067198,0.005841388,0.005684729,0.181381,10.86562
7540.277,6.85e-06,2026231.0,0.4840818,0.4543499,0.1101221,0.004982614,0.005656056,0.1799659,10.86736
7652.008,6.41e-06,2029007.0,0.5007037,0.4547604,0.1106551,0.004657591,0.005646218,0.180195,10.86807
7810.173,6.03e-06,2073869.0,0.5233586,0.4547127,0.1134516,0.004263456,0.005647892,0.1784733,10.86903
8064.565,6.98e-06,2060096.0,0.4825569,0.4513157,0.1406395,0.005015725,0.005734162,0.1776664,10.8708
8172.964,6.29e-06,2039646.0,0.5101856,0.4491598,0.1676498,0.004487467,0.005789699,0.1777734,10.87148
8373.558,6.17e-06,2063777.0,0.5209556,0.4485017,0.1708921,0.004304325,0.005807354,0.1768916,10.87272
8629.373,6.43e-06,2044133.0,0.4971349,0.4463125,0.1968006,0.004727408,0.005865342,0.1769377,10.87437
8734.226,8.07e-06,2058844.0,0.4415373,0.4463967,0.1704457,0.005993359,0.005863583,0.176461,10.87521
8894.047,7.9e-06,2069110.0,0.4496337,0.4459269,0.1723078,0.005780126,0.00587662,0.1760328,10.87648
9150.286,7.68e-06,2076779.0,0.4622273,0.445195,0.1740597,0.005470431,0.005897014,0.1755935,10.87844
9271.12,7.5e-06,2067558.0,0.4678862,0.4448652,0.1736527,0.005339345,0.005906249,0.1758861,10.87935
9521.877,7.92e-06,2092378.0,0.4723931,0.4441875,0.1166359,0.005238899,0.005925355,0.1743964,10.88133
9776.548,7.3e-06,2120212.0,0.4829764,0.4449098,0.1184037,0.005012664,0.005907129,0.1735175,10.88319
