accrate times,accrate,average times,average density,average vinfinity,average cinfinity,average temperature,HL radius,BH mass
204.215,0.0,204.215,558893.0,1.955758,0.509249,496.9656,0.01382292,270.0199
362.077,0.000126,256.5165143262125,531104.0,2.024442,0.5481186,575.7259,0.01290181,270.0394
542.642,0.000108,308.8180286524249,518393.0,1.515503,0.5890611,664.9488,0.02302388,270.0736
717.02,0.000196,361.11954297863736,393230.0,1.51736,0.6060849,703.9384,0.02297044,270.0796
938.9169999999999,0.000156,413.4210573048498,459632.0,1.541559,0.6555539,823.5414,0.0222554,270.1083
1114.6419999999998,0.000135,465.72257163106224,441054.0,1.588483,0.714232,977.5704,0.02096216,270.1321
1279.9389999999999,0.00012,518.0240859572748,448971.0,1.661087,0.7567063,1097.299,0.01917139,270.1519
1387.3919999999998,0.000114,570.3256002834872,442548.0,1.719097,0.7833583,1175.957,0.01790066,270.1641
1538.379,0.000115,622.6271146096997,509335.0,1.80702,0.7860274,1183.986,0.01620177,270.1815
1687.474,0.000111,674.9286289359121,566694.0,1.909397,0.8009083,1229.243,0.01451188,270.198
1888.493,0.000138,727.2301432621246,556256.0,1.949827,0.8181836,1282.844,0.01391713,270.204
2029.6039999999998,0.000137,779.531657588337,707996.0,1.932618,0.8132797,1267.514,0.01416639,270.2258
2135.586,0.000121,831.8331719145496,774880.0,2.081997,0.8303098,1321.155,0.01220746,270.2451
2268.4109999999996,0.000116,884.134686240762,787910.0,2.178686,0.8488998,1380.978,0.01114877,270.2547
2400.8719999999994,0.000107,936.4362005669744,781074.0,2.214192,0.8569338,1407.242,0.01079446,270.2579
2606.8409999999994,9.74e-05,988.7377148931869,933451.0,2.375575,0.8265914,1309.352,0.00937775,270.2733
2813.8649999999993,9.27e-05,1041.0392292193992,1049070.0,2.549257,0.8333047,1330.709,0.008143907,270.2875
2938.1539999999995,9.26e-05,1093.3407435456118,1100600.0,2.657875,0.8503316,1385.646,0.007492271,270.2953
3137.2619999999997,9.62e-05,1145.642257871824,1253490.0,2.823596,0.8377139,1344.831,0.006638799,270.3076
3259.6169999999997,0.000102,1197.9437721980366,1329320.0,2.919833,0.8530573,1394.547,0.00620866,270.3152
3437.0519999999997,0.000109,1250.245286524249,1496320.0,3.038915,0.842038,1358.753,0.005731765,270.3267
3558.227,0.00012,1302.5468008504615,1656350.0,3.151027,0.8424383,1360.047,0.005331377,270.3382
3679.011,0.000124,1354.8483151766739,1744660.0,3.199547,0.8583942,1412.056,0.005171121,270.3454
3880.104,0.000141,1407.1498295028864,1935790.0,3.254415,0.846666,1373.735,0.004998351,270.3574
4001.334,0.000154,1459.451343829099,2116570.0,3.312324,0.8457736,1370.843,0.004825314,270.3699
4189.714,0.000187,1511.7528581553113,2216610.0,3.326913,0.8605999,1419.326,0.004783305,270.3781
4312.848,0.00025,1564.0543724815238,2377530.0,3.322496,0.8555625,1402.761,0.004796171,270.3892
4517.043,0.000302,1616.3558868077362,2577860.0,3.342174,0.8477947,1377.406,0.004740051,270.4038
4642.722,0.000384,1668.6574011339487,2770970.0,3.306507,0.8477827,1377.369,0.004843116,270.4187
4814.369,0.000446,1720.958915460161,2873610.0,3.263094,0.8601633,1417.893,0.004973114,270.4294
4937.754,0.000548,1773.2604297863736,3090110.0,3.240859,0.848381,1379.317,0.005041779,270.447
5061.852,0.000605,1825.561944112586,3282550.0,3.161767,0.8486039,1380.043,0.005297512,270.4656
5201.6669999999995,0.000613,1877.8634584387985,3339900.0,3.102085,0.8637311,1429.685,0.00550369,270.4766
5330.348999999999,0.000492,1930.164972765011,3569090.0,3.051083,0.8486819,1380.3,0.005689451,270.5008
5538.986999999999,0.000374,1982.4664870912234,3748580.0,2.933536,0.850438,1386.02,0.006155084,270.5316
5662.766,0.000277,2034.768001417436,3800370.0,2.833735,0.8650975,1434.216,0.006597013,270.5538
5823.317,0.000257,2087.0695157436485,3997260.0,2.756194,0.8539416,1397.467,0.006973989,270.5933
5948.099,0.000346,2139.371030069861,4122800.0,2.602057,0.8576343,1409.581,0.007825826,270.6415
6076.071,0.00039,2191.672544396073,4091320.0,2.483365,0.8777397,1476.446,0.00859329,270.6747
6286.188,0.000493,2243.974058722286,4158130.0,2.392536,0.8796255,1482.799,0.009259263,270.7182
6412.001,0.000652,2296.2755730484982,4246270.0,2.257592,0.8734737,1462.133,0.01040092,270.7858
6575.871,0.000717,2348.577087374711,4216930.0,2.135461,0.8953324,1536.23,0.01162752,270.8608
6698.811,0.000781,2400.8786017009234,3900720.0,2.104987,0.8941703,1532.245,0.01196994,270.8702
6803.94,0.000767,2453.1801160271357,4143280.0,2.10892,0.858371,1412.012,0.01192573,270.9465
6926.834,0.00072,2505.481630353348,4083910.0,2.291261,0.9146995,1603.415,0.01010597,271.0098
7042.617,0.00105,2557.783144679561,3996890.0,2.439595,0.9448134,1710.73,0.008916464,271.0471
7158.698,0.000759,2610.084659005773,4119280.0,2.701468,0.9090619,1583.714,0.00727256,271.0879
7333.978,0.00025,2662.3861733319854,4252410.0,2.965966,0.9027597,1561.834,0.006034199,271.1222
7466.944,0.000118,2714.6876876581982,4355230.0,3.080094,0.9042591,1567.028,0.005596012,271.1473
7675.626,0.000115,2766.9892019844106,4413910.0,3.117026,0.911311,1591.565,0.005464693,271.1635
7786.66,0.000122,2819.290716310623,5513290.0,3.19749,0.8731679,1461.125,0.005193418,271.2067
7905.157,0.000122,2871.592230636835,5685380.0,3.087827,0.8783808,1478.625,0.005569736,271.2566
8022.756,0.000151,2923.893744963048,5691070.0,2.974681,0.9003749,1553.601,0.006002598,271.2933
8230.015,0.000196,2976.1952592892603,5891570.0,2.843704,0.8798567,1483.601,0.006569152,271.3601
8344.532,0.00027,3028.4967736154726,5936840.0,2.641962,0.8919219,1524.571,0.007612572,271.4422
8532.197,0.000256,3080.798287941685,5649020.0,2.578362,0.9205713,1624.086,0.007995171,271.4706
8645.99,0.000242,3133.0998022678978,5838140.0,2.423189,0.8760107,1470.664,0.009052859,271.5597
8760.489,0.000299,3185.40131659411,5670270.0,2.255595,0.9433616,1705.5,0.01045154,271.6556
8952.753999999999,0.000394,3237.7028309203224,5390980.0,2.130224,0.9662095,1789.116,0.01172209,271.7362
9066.194,0.000509,3290.004345246535,5240610.0,2.106238,0.9458222,1714.412,0.01199413,271.8247
9276.857,0.000625,3342.3058595727475,4222670.0,1.278816,0.9364216,1680.505,0.0325468,271.9466
9388.168,0.000843,3394.60737389896,3694750.0,1.620516,0.9236309,1634.912,0.02027738,272.0346
9577.386,0.000986,3446.908888225172,3280390.0,1.936938,0.8882689,1512.121,0.01419802,272.0621
9686.167000000001,0.00119,3499.210402551385,3995150.0,4.163267,0.9126843,1596.391,0.003073503,272.0785
9884.221000000001,0.00136,3551.5119168775973,4181470.0,4.274464,0.9457777,1714.261,0.002915844,272.0942
9989.848000000002,0.00154,3603.8134312038096,4290370.0,4.365021,1.007938,1947.005,0.002796274,272.104
10114.410000000002,0.00167,3656.1149455300224,4541490.0,4.388261,1.057926,2144.918,0.002766831,272.1182
10217.796000000002,0.00166,3708.4164598562347,4760760.0,4.371746,1.094885,2297.404,0.002787917,272.1318
10320.435000000001,0.00151,3760.717974182447,4998320.0,4.334581,1.120606,2406.614,0.002836068,272.1462
10426.910000000002,0.000947,3813.0194885086594,5246840.0,4.19086,1.133624,2462.857,0.00303408,272.1639
10542.852,0.000712,3865.321002834872,5408080.0,4.009809,1.147642,2524.148,0.003314466,272.1801
10737.486,0.000419,3917.6225171610845,5628010.0,3.786889,1.150431,2536.435,0.003716389,272.2046
10861.529,0.000266,3969.924031487297,5821510.0,3.519881,1.153376,2549.438,0.004301985,272.2355
10986.313,0.000206,4022.2255458135096,5891820.0,3.302382,1.161997,2587.698,0.004887865,272.2639
11163.019,0.000173,4074.527060139722,5247880.0,3.582913,1.117573,2393.621,0.004152849,272.2834
11285.508,0.000171,4126.828574465934,5415300.0,3.352727,1.109762,2360.284,0.004742996,272.3109
11387.974,0.000168,4179.130088792146,5537070.0,3.12112,1.109445,2358.939,0.005473584,272.3452
11509.389000000001,0.000385,4231.431603118359,5549780.0,2.956299,1.117043,2391.362,0.006101691,272.372
11629.867,0.000373,4283.733117444572,5687310.0,2.74445,1.107537,2350.836,0.007080736,272.421
11798.754,0.00126,4336.0346317707845,5697260.0,2.564811,1.108302,2354.087,0.008108787,272.4787
11913.514000000001,0.000989,4388.336146096996,5584530.0,2.435638,1.117779,2394.519,0.008993582,272.5214
12084.765000000001,0.000774,4440.637660423209,5432200.0,2.398723,1.123098,2417.365,0.009273978,272.5342
12229.605000000001,0.000617,4492.939174749422,5603000.0,2.240333,1.102179,2328.151,0.01063215,272.6103
12347.001000000002,0.000539,4545.240689075634,5463310.0,2.072513,1.111698,2368.544,0.01242717,272.7041
12525.925000000003,0.000467,4597.542203401847,5206570.0,1.962701,1.124581,2423.759,0.01386141,272.7761
12643.712000000003,0.000423,4649.843717728058,5107350.0,1.823985,1.118415,2397.258,0.01605416,272.8907
12788.767000000003,0.00042,4702.145232054271,4812300.0,1.659322,1.130627,2449.897,0.01940665,273.02
12907.288000000004,0.000411,4754.446746380484,4417100.0,1.533523,1.147725,2524.559,0.02273195,273.1255
13084.180000000004,0.000395,4806.748260706696,4166020.0,1.34155,1.146278,2518.198,0.02971468,273.2895
13201.718000000004,0.00038,4859.049775032909,3636950.0,1.118986,1.178232,2660.555,0.03854633,273.4518
13379.737000000005,0.000364,4911.351289359121,2881980.0,1.043376,1.185072,2691.534,0.0381253,273.4792
13519.947000000004,0.000359,4963.652803685333,2963960.0,0.8268608,1.154204,2553.152,0.04019574,273.6604
13639.158000000003,0.000362,5015.954318011546,2286920.0,0.5334717,1.209665,2804.414,0.03661864,273.8316
13817.507000000003,0.000368,5068.255832337759,1663570.0,0.2751915,1.20491,2782.412,0.03693129,273.9869
13930.478000000003,0.000354,5120.557346663971,1177450.0,0.6003252,1.145764,2515.956,0.04086571,274.0877
14052.150000000003,0.00036,5172.8588609901835,960455.0,0.83959,1.052799,2124.242,0.04841923,274.1703
14168.523000000003,0.000402,5225.160375316396,769050.0,1.052345,1.011617,1961.308,0.0484756,274.2119
14286.421000000002,0.000416,5277.461889642608,826728.0,1.344139,0.9636892,1779.869,0.02971778,274.2519
14472.677000000001,0.000427,5329.763403968821,946000.0,1.682092,0.9301298,1658.066,0.01897877,274.2849
14593.910000000002,0.000447,5382.064918295033,1127730.0,2.02785,0.9059827,1573.095,0.01306013,274.3107
