accrate times,accrate,average times,average density,average vinfinity,average cinfinity,average temperature,HL radius,BH mass
395.233,0.0,395.233,461642.0,1.195498,0.4865076,453.5729,0.03699393,270.0
804.9390000000001,0.0,446.72909332749606,490813.0,1.526839,0.5051496,488.9999,0.02267988,270.105
997.4860000000001,0.000545,498.2251866549921,172592.0,1.756325,0.533132,544.6772,0.0171469,270.1411
1193.94,0.000184,549.7212799824881,114479.0,2.407343,0.558421,597.5773,0.009128013,270.1762
1387.393,0.000182,601.2173733099842,115586.0,3.039708,0.5807623,646.3509,0.005725906,270.2011
1579.992,0.00013,652.7134666374802,131219.0,3.187506,0.608936,710.5844,0.005207688,270.2268
1772.806,0.000133,704.2095599649763,145198.0,3.32944,0.6563823,825.6327,0.004773591,270.2537
1949.769,0.000152,755.7056532924723,155845.0,3.344528,0.706659,956.9599,0.004731081,270.2822
2117.883,0.00017,807.2017466199684,68980.8,3.368547,0.7096585,965.1016,0.004664342,270.2948
2339.167,0.0002,858.6978399474644,33801.7,3.405484,0.6737047,869.788,0.004563922,270.301
2495.589,0.000203,910.1939332749605,139511.0,3.357558,0.7059415,955.02,0.004695241,270.3264
2689.549,0.000242,961.6900266024566,175582.0,3.248311,0.7559534,1095.13,0.005016836,270.3581
2837.207,0.000236,1013.1861199299526,108600.0,3.245296,0.7927035,1204.197,0.005026746,270.3777
2981.88,0.000261,1064.6822132574487,152790.0,3.233708,0.8024033,1233.849,0.005063197,270.405
3198.0640000000003,0.000285,1116.1783065849447,196915.0,3.135619,0.8208011,1291.08,0.005385465,270.4398
3338.3480000000004,0.00029,1167.6743999124408,215790.0,3.085401,0.8543572,1398.804,0.005562907,270.4776
3482.51,0.000349,1219.1704932399368,142910.0,3.09643,0.9089344,1583.228,0.005524115,270.5024
3617.201,0.000265,1270.666586567433,214382.0,3.041744,0.8660518,1437.364,0.00572505,270.5392
3755.604,0.000297,1322.162679894929,241552.0,3.007149,0.9008168,1555.08,0.005858319,270.5799
3959.93,0.000309,1373.658773222425,162039.0,3.029809,0.9768325,1828.606,0.005771881,270.607
4067.671,0.00031,1425.1548665499208,139718.0,3.036101,0.9893431,1875.747,0.005748551,270.6301
4198.938999999999,0.000562,1476.6509598774169,235180.0,3.02952,0.9043524,1567.315,0.005774042,270.6658
4332.476,0.000672,1528.147053204913,277538.0,3.029285,0.9457081,1713.941,0.005775689,270.707
4537.5,0.000428,1579.643146532409,190047.0,3.032135,1.040728,2075.661,0.005765709,270.7349
4671.466,0.000364,1631.139239859905,267106.0,3.033205,0.9534834,1742.243,0.00576223,270.7701
4861.2210000000005,0.000401,1682.635333187401,257157.0,3.047743,1.017888,1985.559,0.005708124,270.8036
4989.287,0.000379,1734.1314265148972,307339.0,3.048326,0.9869458,1866.682,0.005706638,270.8773
5199.522,0.000413,1785.6275198423932,304079.0,2.358701,1.051017,2116.916,0.009533995,270.9671
5326.07,0.000414,1837.1236131698893,185457.0,1.562883,1.103735,2334.612,0.02172258,271.01
5541.192,0.000437,1888.6197064973853,224232.0,1.09409,1.018249,1986.977,0.04433292,271.0549
5664.82,0.000438,1940.1157998248814,252679.0,0.9847169,1.018048,1986.197,0.05121145,271.1036
5868.928,0.000463,1991.6118931523774,186274.0,0.9591846,1.069593,2192.42,0.04640277,271.1395
5991.015,0.000446,2043.1079864798735,209545.0,0.9715273,1.048418,2106.471,0.04830252,271.1797
6113.485000000001,0.000462,2094.6040798073695,255442.0,0.9127221,1.030551,2035.291,0.0499992,271.2283
6213.55,0.000493,2146.1001731348656,204665.0,0.9169968,1.082809,2246.942,0.04529763,271.2671
6330.842000000001,0.000751,2197.5962664623617,256799.0,1.040633,1.069677,2192.775,0.04642324,271.3151
6454.646000000001,0.000546,2249.0923597898577,283340.0,1.032824,1.069555,2192.275,0.04644205,271.3675
6573.205000000001,0.000479,2300.5884531173538,235778.0,1.094356,1.159675,2577.283,0.03951191,271.4108
6689.830000000001,0.000475,2352.08454644485,281569.0,1.30845,1.097941,2310.192,0.03104242,271.4616
6802.8820000000005,0.000481,2403.580639772346,303244.0,1.370234,1.093888,2293.171,0.02831137,271.5157
6918.984,0.000481,2455.076733099842,264008.0,1.467278,1.168674,2617.447,0.02469514,271.5623
7034.563,0.000492,2506.572826427338,275123.0,1.648523,1.143358,2505.276,0.01956681,271.6102
7154.312,0.000497,2558.068919754834,331253.0,2.828542,1.135889,2472.656,0.006647545,271.6646
7357.3099999999995,0.000519,2609.56501308233,352557.0,2.893503,1.150553,2536.915,0.006353675,271.7211
7473.499999999999,0.000515,2661.061106409826,311559.0,3.017093,1.202737,2772.262,0.00584501,271.7705
7589.465999999999,0.000527,2712.557199737322,343885.0,3.135661,1.157006,2565.458,0.005412312,271.8586
7704.544999999999,0.000537,2764.0532930648183,313802.0,1.703093,1.161006,2583.231,0.01835289,271.9263
7896.224999999999,0.000553,2815.5493863923143,300993.0,1.429294,1.130066,2447.387,0.02606428,271.9831
8010.275,0.00102,2867.0454797198104,292611.0,1.446051,1.109343,2358.453,0.025469,272.0384
8124.084,0.000655,2918.5415730473064,286774.0,1.470118,1.130325,2448.514,0.02464691,272.0928
8233.664,0.000574,2970.0376663748025,301602.0,1.614319,1.095761,2301.06,0.02044439,272.1486
8345.984,0.00055,3021.5337597022985,302484.0,1.009554,1.086079,2260.581,0.04517711,272.2055
8454.437,0.000558,3073.0298530297946,318368.0,0.9121227,1.101801,2326.504,0.04390616,272.265
8561.474,0.000565,3124.5259463572906,277340.0,1.351717,1.131631,2454.185,0.02917796,272.314
8681.881,0.000597,3176.0220396847867,318187.0,1.452004,1.08222,2244.55,0.02529114,272.3704
8791.106,0.000554,3227.5181330122828,338692.0,1.301626,1.109516,2359.205,0.03147901,272.4302
8895.108,0.000586,3279.014226339779,351511.0,1.360074,1.091241,2282.133,0.02883788,272.4913
9001.408,0.000588,3330.510319667275,354323.0,1.463217,1.101469,2325.115,0.02492111,272.5531
9104.919,0.0006,3382.006412994771,277879.0,1.337225,1.176783,2653.953,0.02984518,272.6019
9267.809,0.000614,3433.502506322267,328489.0,1.403589,1.083925,2251.643,0.02709447,272.6591
9371.394999999999,0.00166,3484.998599649763,354255.0,1.512737,1.09541,2299.613,0.02333051,272.7749
9480.204999999998,0.000881,3536.494692977259,311584.0,2.628472,1.153553,2550.215,0.007730866,272.8494
9583.332999999999,0.000717,3587.990786304755,298872.0,3.358502,1.104165,2336.526,0.004736545,272.9123
9702.371,0.000776,3639.486879632251,303066.0,3.834233,1.095747,2301.036,0.003634927,272.9741
9802.887999999999,0.000534,3690.9829729597473,298696.0,2.899913,1.090078,2277.291,0.006355947,273.0346
9906.133999999998,0.000571,3742.4790662872433,300277.0,2.948666,1.083051,2248.029,0.006148865,273.0951
10006.616999999998,0.000603,3793.9751596147394,99968.2,2.945974,1.05924,2150.268,0.006161471,273.1153
10116.321999999998,0.000646,3845.4712529422354,255387.0,2.801964,0.9672304,1792.934,0.006811592,273.167
10218.929999999998,0.000599,3896.9673462697315,303214.0,2.872898,1.052451,2122.797,0.006480599,273.2275
10320.869999999999,0.000996,3948.4634395972275,308809.0,2.95968,1.075581,2217.132,0.006107476,273.2884
10422.044999999998,0.000818,3999.9595329247236,320543.0,2.62148,1.08257,2246.044,0.00778672,273.3509
10538.071999999998,0.000624,4051.4556262522196,323112.0,2.676556,1.096991,2306.283,0.007471259,273.413
10641.411999999998,0.000688,4102.951719579715,221740.0,2.728136,1.111748,2368.75,0.007193048,273.4554
10842.721999999998,0.00069,4154.447812907211,306975.0,2.454143,1.044638,2091.408,0.008890211,273.513
11044.637999999997,0.000708,4205.943906234707,337628.0,2.530753,1.088731,2271.691,0.008361863,273.6846
11177.206999999997,0.000744,4257.439999562203,301542.0,2.78721,1.113083,2374.453,0.006898188,273.7806
11281.703999999996,0.000686,4308.9360928896995,269346.0,2.996489,1.068972,2189.985,0.005970365,273.8545
11387.932999999995,0.000714,4360.4321862171955,255193.0,3.157455,1.075741,2217.812,0.005378595,273.9217
11583.533999999996,0.000736,4411.928279544692,99887.0,3.241595,1.060599,2155.815,0.005104253,273.9468
11694.505999999996,0.000717,4463.424372872188,214688.0,3.209999,0.8707764,1453.192,0.005205699,274.0005
11846.691999999995,0.000806,4514.920466199684,254491.0,3.151136,0.9765047,1827.506,0.005403053,274.0595
11950.965999999995,0.000679,4566.41655952718,261737.0,3.161016,1.072381,2203.987,0.005370481,274.1201
12152.006999999994,0.000712,4617.912652854676,81149.6,3.17898,1.040685,2075.625,0.005311133,274.139
12258.091999999993,0.000725,4669.408746182172,224362.0,3.310501,0.9601597,1766.843,0.004897839,274.191
12410.743999999993,0.000799,4720.904839509668,267545.0,3.268233,1.05379,2128.236,0.005026294,274.2525
12515.545999999993,0.000682,4772.400932837164,281841.0,3.193145,0.998107,1909.265,0.005266637,274.3539
12715.038999999993,0.000752,4823.89702616466,80947.2,3.07464,0.9787285,1835.847,0.005682546,274.3819
12821.752999999993,0.00143,4875.393119492156,219320.0,2.501497,0.9246309,1638.511,0.008585689,274.4367
13018.934999999994,0.000901,4926.889212819652,298570.0,2.678464,0.9139622,1600.92,0.007490137,274.5091
13125.891999999994,0.000786,4978.385306147148,294416.0,2.787443,0.9400924,1693.771,0.006917729,274.5802
13265.242999999995,0.000831,5029.881399474644,269079.0,2.922777,0.9239607,1636.142,0.006293559,274.6454
13373.019999999995,0.000769,5081.37749280214,301684.0,3.020763,0.9435893,1706.399,0.005893276,274.719
13571.941999999995,0.000819,5132.873586129636,289385.0,3.10702,0.9537872,1743.484,0.005572086,274.7894
13680.036999999995,0.000811,5184.369679457132,298556.0,3.165231,0.9880472,1870.987,0.005370393,274.8619
13787.934999999994,0.00101,5235.8657727846285,150736.0,3.265684,1.012192,1963.547,0.005046415,274.8988
13894.374999999995,0.00065,5287.3618661121245,252100.0,3.327272,0.9149824,1604.507,0.004861972,274.9605
13995.027999999995,0.000767,5338.857959439621,296645.0,3.288263,0.9041309,1566.676,0.004979126,275.0323
14192.700999999995,0.00175,5390.354052767117,313711.0,3.277584,0.9754064,1823.426,0.005012926,275.1081
14302.527999999995,0.00119,5441.850146094613,413636.0,0.6430361,1.027345,2022.786,0.05103707,275.1792
14484.476999999995,0.000868,5493.346239422109,431362.0,0.5495608,1.005363,1937.151,0.05330704,275.252
14636.201999999996,0.000817,5544.842332749605,505024.0,0.6617163,1.055426,2134.884,0.04838252,275.3315
