accrate times,accrate,average times,average density,average vinfinity,average cinfinity,average temperature,HL radius,BH mass
395.233,0.0,395.233,65900.3,1.042109,0.183815,64.74849,0.04868579,270.0
804.9390000000001,0.0,445.5278432728827,97582.4,0.8475981,0.2252411,97.22188,0.07359483,270.0452
997.4860000000001,0.000235,495.8226865457654,69478.4,0.9054193,0.2350507,105.8749,0.06450591,270.0722
1193.94,0.000138,546.1175298186481,61491.2,0.9352053,0.2515308,121.242,0.06046828,270.0949
1387.393,0.000117,596.4123730915309,61813.1,0.935977,0.2738595,143.7233,0.06037357,270.1171
1579.992,0.000115,646.7072163644135,64652.8,0.9319679,0.297828,169.9822,0.060899,270.1385
1759.269,0.000119,697.0020596372963,50777.6,0.9928407,0.2956507,167.5059,0.05366452,270.1396
1936.51,0.000165,747.2969029101789,88748.7,0.9416407,0.3610797,249.85,0.05965913,270.1678
2094.604,0.000167,797.5917461830617,91972.5,0.9529035,0.3892504,290.3569,0.05826319,270.1943
2321.74,0.000166,847.8865894559444,79507.8,1.01107,0.4030234,311.2682,0.05175733,270.202
2465.153,0.000198,898.1814327288271,76813.5,1.029566,0.406542,316.7271,0.04991586,270.2044
2689.549,0.000189,948.4762760017097,107586.0,0.9504795,0.3980842,303.686,0.05856853,270.2321
2822.131,0.000209,998.7711192745926,117409.0,0.964219,0.4202026,338.371,0.05691704,270.2606
2952.598,0.00021,1049.0659625474752,115922.0,1.007074,0.436988,365.9444,0.05218148,270.277
3172.685,0.000205,1099.3608058203579,137346.0,1.011194,0.4317816,357.2769,0.05176014,270.303
3299.598,0.000219,1149.6556490932405,153984.0,1.039407,0.4391103,369.5086,0.04899309,270.3306
3482.533,0.000206,1199.9504923661234,171378.0,1.077383,0.4448823,379.2872,0.04560465,270.358
3606.072,0.000213,1250.245335639006,179879.0,1.134772,0.4537817,394.6138,0.04111268,270.3759
3730.0060000000003,0.000213,1300.5401789118887,213209.0,1.158067,0.443702,377.2783,0.03947787,270.4031
3939.061,0.000213,1350.8350221847716,244222.0,1.208229,0.4490239,386.3833,0.03627156,270.4309
4067.672,0.000213,1401.1298654576542,262903.0,1.27518,0.4585631,402.9751,0.03256612,270.4492
4189.529,0.000235,1451.4247087305368,294282.0,1.314506,0.4572979,400.7549,0.03064876,270.4686
4312.152,0.000263,1501.7195520034195,344237.0,1.350386,0.4504638,388.8667,0.02904373,270.4948
4522.456,0.000273,1552.0143952763021,390910.0,1.410965,0.4542416,395.417,0.02660585,270.5213
4648.093,0.000297,1602.309238549185,419126.0,1.471164,0.4638647,412.3486,0.0244754,270.5389
4854.669,0.000307,1652.6040818220677,480729.0,1.500015,0.4555898,397.7685,0.02354445,270.5659
4985.553,0.00033,1702.8989250949503,543487.0,1.546737,0.4572124,400.6076,0.02214571,270.5933
5200.519,0.000344,1753.1937683678332,603311.0,1.591746,0.4614507,408.0696,0.02091309,270.6219
5324.343,0.000369,1803.4886116407158,669150.0,1.627445,0.4626865,410.2588,0.02000776,270.6541
5535.406,0.00038,1853.7834549135985,710350.0,1.671032,0.4710784,425.276,0.01897986,270.6767
5658.647,0.0004,1904.078298186481,791861.0,1.683401,0.4651297,414.6038,0.01870351,270.7116
5868.934,0.000393,1954.373141459364,867570.0,1.711994,0.4672677,418.4246,0.01808628,270.749
5991.944,0.000416,2004.6679847322466,907553.0,1.753917,0.4777479,437.4051,0.01723435,270.7732
6114.027,0.000396,2054.9628280051293,998989.0,1.759741,0.4726771,428.1696,0.01712197,270.8123
6336.5560000000005,0.000379,2105.2576712780124,972536.0,1.823288,0.4779505,437.7767,0.01595157,270.8142
6454.647000000001,0.000369,2155.552514550895,1094420.0,1.791563,0.4683179,420.3092,0.0165216,270.8555
6577.4890000000005,0.000336,2205.8473578237777,1156050.0,1.83284,0.483935,448.8092,0.01578822,270.8855
6699.899,0.000326,2256.1422010966603,1274850.0,1.847303,0.4823591,445.8916,0.01554366,270.9295
6806.732,0.000318,2306.437044369543,1410850.0,1.890657,0.4896899,459.5482,0.01484138,270.9752
6926.926,0.00032,2356.7318876424256,1510670.0,1.944437,0.5037438,486.3049,0.01403411,271.0075
7046.886,0.000312,2407.0267309153082,1685630.0,1.972358,0.4980367,475.349,0.01364118,271.0554
7157.792,0.000315,2457.3215741881913,1880270.0,2.036176,0.5049266,488.5926,0.01280175,271.1046
7361.004000000001,0.000322,2507.616417461074,2015300.0,2.108491,0.5143123,506.9262,0.01194084,271.1408
7476.9890000000005,0.000334,2557.9112607339566,2191440.0,2.158746,0.5056578,490.0099,0.01139286,271.1873
7587.494000000001,0.000341,2608.2061040068393,2907140.0,2.479475,0.5566789,593.8838,0.008637541,271.2385
7702.331000000001,0.000345,2658.500947279722,3096970.0,2.573175,0.558574,597.9349,0.008021444,271.2869
7899.296000000001,0.000358,2708.7957905526046,3240220.0,2.671195,0.5600844,601.1738,0.007444868,271.3238
8010.6860000000015,0.000375,2759.0906338254877,3436410.0,2.758484,0.5547955,589.8744,0.006982094,271.3712
8211.935000000001,0.000397,2809.3854770983703,3602350.0,2.848126,0.5571742,594.9441,0.006550638,271.4148
8323.384000000002,0.000424,2859.680320371253,3770150.0,2.925282,0.5546565,589.5803,0.006210628,271.4561
8510.436000000002,0.000411,2909.9751636441356,3930560.0,3.002648,0.555624,591.6398,0.005895599,271.4959
8686.778000000002,0.000417,2960.2700069170182,4057150.0,3.061608,0.5602113,601.45,0.005671537,271.53
8800.249000000002,0.000444,3010.564850189901,4178220.0,3.091679,0.5589182,598.6775,0.005562434,271.5684
8981.600000000002,0.000469,3060.8596934627835,3365480.0,2.7368,0.5025777,484.0646,0.007099514,271.6058
9096.325000000003,0.0005,3111.1545367356666,3440010.0,2.745833,0.5065168,491.6829,0.007053842,271.6407
9280.479000000003,0.000518,3161.4493800085493,4231690.0,3.118914,0.5648401,611.433,0.005467928,271.6679
9396.722000000003,0.00058,3211.744223281432,4267730.0,3.089668,0.567452,617.1016,0.005572484,271.7062
9562.412000000004,0.000598,3262.0390665543146,4276920.0,3.059721,0.5851037,656.0917,0.005682891,271.745
9680.175000000005,0.000628,3312.333909827197,4217700.0,3.016538,0.6161682,727.6088,0.00584759,271.7826
9821.128000000004,0.000607,3362.62875310008,4173490.0,2.975847,0.6392434,783.1274,0.006009424,271.8223
9940.116000000004,0.000592,3412.9235963729625,4117520.0,2.945891,0.6577205,829.0544,0.00613315,271.8519
10103.120000000004,0.000615,3463.2184396458456,4046600.0,2.876692,0.6744782,871.8398,0.006432459,271.8927
10222.662000000004,0.000658,3513.5132829187282,3992950.0,2.825436,0.6854729,900.4964,0.006668952,271.9344
10388.346000000003,0.000736,3563.808126191611,3940710.0,2.78439,0.6946634,924.8058,0.006868069,271.9693
10541.217000000002,0.000773,3614.1029694644935,3879540.0,2.716153,0.7009715,941.6793,0.007218409,272.0143
10659.094000000003,0.000807,3664.397812737376,3830700.0,2.658581,0.7054691,953.8032,0.007535663,272.0615
10825.745000000003,0.000802,3714.692656010259,3767350.0,2.620393,0.710688,967.9682,0.007758244,272.0943
10941.605000000003,0.000812,3764.9874992831415,2930460.0,2.349047,0.635886,774.9295,0.009655272,272.1385
11079.974000000004,0.000771,3815.2823425560246,2878560.0,2.32249,0.6380869,780.3036,0.009878946,272.164
11194.915000000005,0.000785,3865.577185828907,2864370.0,2.265381,0.633139,768.2501,0.01038427,272.212
11308.894000000004,0.000765,3915.87202910179,2799230.0,2.209346,0.6323438,766.3224,0.01091961,272.2624
11481.756000000003,0.000567,3966.1668723746725,2746480.0,2.184876,0.6334659,769.0451,0.01116763,272.2928
11593.315000000002,0.000499,4016.461715647555,2735030.0,2.135567,0.6254166,749.626,0.01169059,272.3475
11768.692000000003,0.000581,4066.756558920438,2668630.0,2.088631,0.622185,741.9001,0.01222435,272.4048
11944.251000000002,0.000577,4117.05140219332,2614910.0,2.070478,0.6219065,741.2366,0.01244226,272.4391
12051.917000000001,0.000539,4167.346245466203,2591380.0,2.030258,0.6092625,711.4037,0.01294172,272.5002
12237.500000000002,0.000536,4217.641088739086,2520090.0,1.98762,0.604493,700.3101,0.01350593,272.5677
12343.974000000002,0.000541,4267.935932011968,2456820.0,1.978149,0.6060886,704.0124,0.01363894,272.5952
12517.258000000002,0.000542,4318.230775284851,2448580.0,1.937158,0.5906802,668.6725,0.01422368,272.6668
12623.871000000001,0.000551,4368.525618557734,2378240.0,1.896132,0.5862986,658.7897,0.01484973,272.7408
12817.173,0.000581,4418.820461830616,2301860.0,1.897317,0.5883737,663.4616,0.01483521,272.7534
12924.715,0.000614,4469.115305103499,2319800.0,1.85494,0.5720462,627.1507,0.01552147,272.8263
13118.47,0.000625,4519.4101483763825,2256840.0,1.81616,0.5689013,620.2749,0.01619571,272.8967
13273.744999999999,0.000641,4569.704991649265,2183900.0,1.809958,0.5716398,626.261,0.0163111,272.9221
13386.180999999999,0.000661,4619.999834922148,2190410.0,1.763541,0.5550467,590.4323,0.01718259,272.997
13582.462,0.000674,4670.29467819503,2138610.0,1.722184,0.5521143,584.2109,0.01802269,273.0757
13706.25,0.000698,4720.589521467913,2059050.0,1.71598,0.5548149,589.9403,0.01815847,273.1071
13911.833,0.000674,4770.884364740796,2073020.0,1.668147,0.5377023,554.1102,0.01921695,273.1976
14035.634,0.00068,4821.179208013678,1981580.0,1.670514,0.5414206,561.8006,0.01916887,273.2218
14217.563,0.000721,4871.474051286561,2011100.0,1.628848,0.5270825,532.4396,0.02016386,273.3158
14341.624,0.000759,4921.768894559444,1964930.0,1.604355,0.5245009,527.2374,0.02079135,273.4109
14522.288,0.000768,4972.063737832326,1881720.0,1.609605,0.5299445,538.2383,0.0206631,273.4493
14656.375,0.000791,5022.358581105209,1910700.0,1.585564,0.5170638,512.3924,0.02129743,273.5446
14764.963,0.000802,5072.6534243780925,1879000.0,1.582732,0.5140331,506.4041,0.02138114,273.6387
14888.328,0.000821,5122.948267650975,1820430.0,1.600757,0.5189576,516.1536,0.02090951,273.6815
15011.536,0.000832,5173.243110923858,1844510.0,1.601258,0.513784,505.914,0.02089967,273.7454
15190.904,0.000838,5223.53795419674,1876440.0,1.609623,0.5043937,487.5907,0.02068782,273.8357
15314.2,0.000746,5273.832797469623,1905120.0,1.636114,0.5037804,486.4062,0.02002988,273.9229
15487.387,0.00075,5324.127640742506,1874780.0,1.671037,0.5084334,495.4332,0.01920753,273.9656
15610.83,0.000772,5374.422484015388,1476100.0,1.685763,0.4232534,343.3353,0.01887635,274.0209
15732.997,0.000784,5424.717327288271,1529320.0,1.696619,0.421932,341.1951,0.01863929,274.0766
15908.57,0.000792,5475.012170561154,1880230.0,1.825344,0.4443228,378.369,0.01610633,274.1139
16029.485999999999,0.000816,5525.307013834036,1943950.0,1.831483,0.4378985,367.5071,0.01600069,274.1785
16180.467999999999,0.000813,5575.601857106919,1942960.0,1.846098,0.4453135,380.0589,0.01575206,274.2166
16300.526,0.000752,5625.896700379802,2008260.0,1.853597,0.4390657,369.4695,0.01562702,274.2799
16420.49,0.000769,5676.191543652684,2044880.0,1.868222,0.4388895,369.1735,0.01538684,274.3379
16596.174000000003,0.000694,5726.486386925567,2059450.0,1.879726,0.444697,379.0085,0.01520228,274.3799
16715.518000000004,0.000726,5776.78123019845,2115700.0,1.886502,0.4402134,371.4047,0.01509555,274.4375
16890.054000000004,0.00067,5827.076073471333,2152390.0,1.895556,0.4397764,370.6682,0.01495482,274.495
17019.288000000004,0.000687,5877.370916744216,2154770.0,1.903476,0.4467986,382.6003,0.01483372,274.5306
17137.118000000006,0.000761,5927.665760017098,2217400.0,1.904644,0.4405344,371.9478,0.01481744,274.5889
17311.748000000007,0.000817,5977.960603289981,2254090.0,1.908823,0.4399164,370.9053,0.01475575,274.6477
17428.91700000001,0.000905,6028.255446562864,2274040.0,1.911164,0.4440942,377.984,0.01472275,274.6952
17588.557000000008,0.00105,6078.550289835746,2325500.0,1.911247,0.4400561,371.1417,0.01472401,274.76
17705.210000000006,0.00117,6128.845133108629,2362590.0,1.911215,0.4393385,369.9328,0.01472797,274.826
17880.061000000005,0.00128,6179.139976381512,2377380.0,1.91136,0.443341,376.7041,0.01472924,274.8783
17996.215000000004,0.00153,6229.434819654394,2429430.0,1.908828,0.439091,369.5167,0.01477115,274.9472
18170.525000000005,0.00161,6279.729662927277,2402550.0,1.914014,0.4460835,381.3798,0.01469488,274.9749
18296.369000000006,0.00174,6330.0245062001595,2480800.0,1.903656,0.4386326,368.7463,0.01485672,275.0467
18411.982000000007,0.00184,6380.319349473042,2518020.0,1.901789,0.4377168,367.2085,0.01488976,275.1211
18587.421000000006,0.00186,6430.614192745925,2519930.0,1.90279,0.4423649,375.049,0.0148781,275.173
18702.126000000007,0.00191,6480.909036018808,2582510.0,1.894969,0.4370998,366.1747,0.01500398,275.2534
18878.369000000006,0.00186,6531.203879291691,2626200.0,1.892705,0.4356953,363.8258,0.01504428,275.3398
18999.808000000005,0.00192,6581.498722564574,2601430.0,1.896961,0.4433785,376.7708,0.01498154,275.3825
19112.847000000005,0.00198,6631.793565837456,2577330.0,1.900221,0.446911,382.7985,0.01493249,275.3956
19291.094000000005,0.00211,6682.088409110339,2694000.0,1.892492,0.4351,362.8331,0.01505541,275.4785
19403.458000000006,0.00216,6732.383252383222,2735800.0,1.892664,0.4350343,362.7241,0.01505718,275.5626
19603.585000000006,0.00203,6782.678095656104,2704220.0,1.897542,0.4433549,376.7322,0.01498444,275.6011
19715.470000000005,0.00188,6832.972938928987,2799460.0,1.894045,0.4356343,363.726,0.01504189,275.6938
19895.640000000003,0.00169,6883.2677822018695,2844640.0,1.895939,0.4354644,363.4427,0.01501688,275.7879
20007.823000000004,0.00065,6933.562625474752,2810690.0,1.900974,0.4437884,377.4704,0.01494254,275.8297
20188.683000000005,0.000638,6983.857468747635,2913000.0,1.897966,0.4359039,364.1775,0.01499218,275.9267
20313.682000000004,0.000654,7034.1523120205175,2824250.0,1.906303,0.4389838,369.342,0.01486657,275.9342
20427.480000000003,0.000688,7084.4471552934,2961160.0,1.898716,0.4317289,357.2353,0.014986,276.0328
20608.917000000005,0.000741,7134.741998566283,2991000.0,1.900658,0.4373863,366.6595,0.01496071,276.1199
20724.888000000006,0.000886,7185.036841839165,3054970.0,1.901939,0.436488,365.1555,0.01494527,276.2211
20830.675000000007,0.000897,7235.331685112049,3100350.0,1.905264,0.4367411,365.5797,0.01489858,276.3236
20948.230000000007,0.00101,7285.626528384932,3063900.0,1.910805,0.4457923,380.8897,0.01481779,276.3694
21063.233000000007,0.00105,7335.921371657814,3174420.0,1.910745,0.4374575,366.7806,0.01482115,276.474
21238.785000000007,0.000802,7386.216214930697,3216450.0,1.915099,0.4378589,367.4546,0.01475941,276.5659
21349.02300000001,0.000681,7436.5110582035795,3175790.0,1.920892,0.4471059,383.1389,0.0146754,276.6062
21534.073000000008,0.00068,7486.805901476462,3284920.0,1.921523,0.4401818,371.3644,0.01466787,276.6958
21656.70200000001,0.000679,7537.100744749345,3333280.0,1.924047,0.4400947,371.218,0.01463413,276.7912
21765.06600000001,0.000671,7587.3955880222275,3379210.0,1.926672,0.4421316,374.6627,0.01459929,276.8869
21956.72800000001,0.000655,7637.69043129511,3338390.0,1.932765,0.4510001,389.8439,0.0145124,276.9282
22065.56400000001,0.000639,7687.985274567993,3466730.0,1.933217,0.4427891,375.7785,0.01450776,277.026
